entry_test_price;prediction;test_price;volume
960.28;965.3200073242188;952.64;87.78
952.64;908.4000244140625;958.92;189.84
958.92;987.4500122070312;959.0;137.5
959.0;958.6300048828125;955.61;105.51
955.61;945.280029296875;950.13;275.22
950.13;947.9299926757812;945.54;521.05
945.54;952.72998046875;951.33;221.53
951.33;958.530029296875;948.59;114.43
948.59;948.8900146484375;949.9;94.24
949.9;951.4500122070312;958.07;102.29
958.07;961.530029296875;958.0;224.2
958.0;961.52001953125;958.7;162.02
958.7;956.8900146484375;955.69;26.58
955.69;956.2999877929688;953.24;152.75
953.24;954.1799926757812;952.38;63.66
952.38;955.6199951171875;957.33;49.83
957.33;952.7999877929688;954.4;61.68
954.4;954.97998046875;953.91;7.66
953.91;953.1799926757812;957.63;94.43
957.63;957.0800170898438;963.01;235.92
963.01;958.3599853515625;964.79;302.27
964.79;959.6599731445312;964.96;223.7
964.96;963.5499877929688;960.0;91.64
960.0;963.6099853515625;960.28;85.05
960.28;962.8300170898438;962.98;34.18
962.98;962.0599975585938;965.52;32.3
965.52;960.4099731445312;968.0;73.06
968.0;967.6500244140625;966.71;113.22
966.71;964.8599853515625;965.59;60.2
965.59;967.5499877929688;965.11;1.95
965.11;965.1599731445312;964.49;2.03
964.49;965.489990234375;962.6;7.41
962.6;965.77001953125;964.88;23.97
964.88;965.1699829101562;967.05;79.14
967.05;968.7999877929688;965.81;54.93
965.81;964.3599853515625;965.46;22.01
965.46;970.0900268554688;965.9;62.65
965.9;963.2899780273438;977.59;13.22
977.59;970.8200073242188;978.26;794.96
978.26;967.1699829101562;973.32;427.31
973.32;973.75;976.89;87.46
976.89;969.8099975585938;978.46;67.25
978.46;965.9500122070312;981.98;43.57
981.98;979.5399780273438;996.29;313.07
996.29;984.469970703125;992.95;3497.38
992.95;988.5900268554688;999.92;426.21
999.92;992.02001953125;1000.0;809.25
1000.0;990.9600219726562;1004.7;332.27
1004.7;991.3599853515625;1004.6;550.1
1004.6;1003.8699951171875;1004.6;336.53
1004.6;1005.5800170898438;998.99;100.66
998.99;1009.6300048828125;1000.0;319.25
1000.0;1004.02001953125;1002.4;296.89
1002.4;1002.1199951171875;1011.0;170.68
1011.0;1009.4299926757812;1014.2;377.98
1014.2;1015.1400146484375;1015.0;505.9
1015.0;1015.760009765625;1011.4;274.35
1011.4;1015.280029296875;1016.7;96.25
1016.7;1011.1500244140625;1018.2;183.96
1018.2;1013.9600219726562;1016.2;290.31
1016.2;1020.3300170898438;1022.2;361.5
1022.2;1026.699951171875;1026.0;927.38
1026.0;1022.0599975585938;1034.5;516.8
1034.5;1025.739990234375;1030.0;1086.64
1030.0;1034.0999755859375;1021.3;443.73
1021.3;1032.1300048828125;1027.6;757.91
1027.6;1021.3400268554688;1029.9;835.57
1029.9;1033.4599609375;1029.2;439.59
1029.2;1028.6800537109375;1026.7;678.99
1026.7;1031.300048828125;1020.2;246.84
1020.2;1024.010009765625;1012.6;361.48
1012.6;1026.800048828125;1024.0;364.06
1024.0;1031.22998046875;1015.9;1979.54
1015.9;1015.3800048828125;1020.1;603.89
1020.1;1019.5599975585938;1019.3;500.39
1019.3;1019.280029296875;1024.9;189.35
1024.9;1018.5599975585938;1026.6;230.35
1026.6;1014.1400146484375;1025.9;191.58
1025.9;1022.3699951171875;1027.9;358.19
1027.9;1025.7900390625;1025.4;305.42
1025.4;1026.6800537109375;1025.3;56.29
1025.3;1028.3499755859375;1021.2;148.26
1021.2;1022.0;1021.4;140.47
1021.4;1023.4199829101562;1018.1;227.23
1018.1;1022.469970703125;1015.9;246.62
1015.9;1023.7100219726562;1019.9;252.81
1019.9;1022.6799926757812;1022.4;149.26
1022.4;1022.239990234375;1024.7;74.7
1024.7;1024.6500244140625;1021.5;200.85
1021.5;1023.6599731445312;1016.2;195.37
1016.2;1015.75;1020.7;139.89
1020.7;1019.1599731445312;1021.1;455.15
1021.1;1021.969970703125;1021.7;55.35
1021.7;1016.3200073242188;1020.0;124.2
1020.0;1022.97998046875;1022.0;198.3
1022.0;1020.75;1024.5;184.12
1024.5;1023.6500244140625;1029.9;395.87
1029.9;1022.47998046875;1031.6;750.88
1031.6;1025.719970703125;1037.6;1193.08
1037.6;1028.280029296875;1040.4;1142.58
1040.4;1030.989990234375;1045.3;1009.28
1045.3;1035.52001953125;1043.5;1738.43
1043.5;1027.9300537109375;1049.7;232.36
1049.7;1044.2900390625;1053.5;583.74
1053.5;1044.8599853515625;1059.9;511.3
1059.9;1045.199951171875;1059.4;1511.49
1059.4;1066.22998046875;1057.2;476.59
1057.2;1060.010009765625;1055.8;727.27
1055.8;1047.449951171875;1067.5;341.42
1067.5;1061.0;1079.5;517.76
1079.5;1057.0;1083.1;1066.37
1083.1;1069.77001953125;1093.7;1077.69
