entry_test_price;prediction;test_price
3903.5;3977.199951171875;3906.9
3906.9;3924.93994140625;3886.4
3886.4;3893.10009765625;3900.84
3900.84;3896.10009765625;3899.3
3899.3;3895.330078125;3898.6
3898.6;3900.860107421875;3904.5
3904.5;3905.389892578125;3903.1
3903.1;3908.169921875;3908.85
3908.85;3908.93994140625;3901.91
3901.91;3899.409912109375;3903.0
3903.0;3900.89990234375;3904.2
3904.2;3905.31005859375;3908.5
3908.5;3908.260009765625;3912.1
3912.1;3908.679931640625;3919.14
3919.14;3927.669921875;3925.3
3925.3;3935.64990234375;3919.1
3919.1;3921.239990234375;3921.0
3921.0;3918.3701171875;3912.2
3912.2;3907.3798828125;3914.6
3914.6;3912.669921875;3916.0
3916.0;3916.35009765625;3922.78
3922.78;3926.889892578125;3930.0
3930.0;3937.580078125;3920.0
3920.0;3921.969970703125;3937.99
3937.99;3940.9599609375;3945.0
3945.0;3955.010009765625;3938.0
3938.0;3941.4599609375;3942.9
3942.9;3944.929931640625;3937.2
3937.2;3936.3701171875;3938.6
3938.6;3938.43994140625;3941.8
3941.8;3942.820068359375;3928.5
3928.5;3926.030029296875;3920.0
3920.0;3911.199951171875;3918.42
3918.42;3913.330078125;3919.4
3919.4;3918.43994140625;3919.2
3919.2;3920.2900390625;3922.1
3922.1;3922.580078125;3923.5
3923.5;3927.949951171875;3901.4
3901.4;3908.919921875;3913.8
3913.8;3900.5400390625;3908.64
3908.64;3905.830078125;3905.79
3905.79;3909.25;3889.2
3889.2;3888.860107421875;3886.1
3886.1;3857.280029296875;3897.8
3897.8;3910.7900390625;3896.7
3896.7;3900.22998046875;3905.4
3905.4;3908.469970703125;3912.4
3912.4;3928.169921875;3911.6
3911.6;3911.47998046875;3917.0
3917.0;3920.489990234375;3909.1
3909.1;3910.610107421875;3904.8
3904.8;3896.679931640625;3899.1
3899.1;3895.510009765625;3906.14
3906.14;3909.06005859375;3900.8
3900.8;3902.530029296875;3906.1
3906.1;3904.31005859375;3908.0
3908.0;3912.27001953125;3907.9
3907.9;3913.179931640625;3906.1
3906.1;3902.580078125;3910.0
3910.0;3914.010009765625;3912.0
3912.0;3913.93994140625;3912.8
3912.8;3915.030029296875;3914.6
3914.6;3921.0400390625;3922.8
3922.8;3927.75;3920.0
3920.0;3923.110107421875;3914.9
3914.9;3912.570068359375;3913.7
3913.7;3907.659912109375;3917.1
3917.1;3922.75;3915.1
3915.1;3913.9599609375;3915.3
3915.3;3912.330078125;3914.7
3914.7;3916.0;3916.4
3916.4;3914.550048828125;3905.0
3905.0;3900.2900390625;3909.43
3909.43;3905.43994140625;3912.21
3912.21;3918.989990234375;3913.7
3913.7;3914.8701171875;3911.7
3911.7;3913.830078125;3907.5
3907.5;3906.7099609375;3908.0
3908.0;3897.889892578125;3914.1
3914.1;3925.179931640625;3897.7
3897.7;3883.800048828125;3893.4
3893.4;3871.239990234375;3890.89
3890.89;3900.02001953125;3893.0
3893.0;3893.47998046875;3888.1
3888.1;3889.77001953125;3890.32
3890.32;3886.889892578125;3891.5
3891.5;3895.7099609375;3891.32
3891.32;3893.27001953125;3891.18
3891.18;3889.280029296875;3886.0
3886.0;3872.830078125;3884.0
3884.0;3883.10009765625;3902.1
3902.1;3922.260009765625;3904.3
3904.3;3909.7099609375;3902.9
3902.9;3899.52001953125;3888.25
3888.25;3877.679931640625;3882.7
3882.7;3863.840087890625;3844.0
3844.0;3804.719970703125;3824.3
3824.3;3780.639892578125;3817.8
3817.8;3816.9599609375;3829.9
3829.9;3841.699951171875;3817.1
3817.1;3811.139892578125;3811.68
3811.68;3792.110107421875;3806.2
3806.2;3817.93994140625;3767.5
3767.5;3729.56005859375;3805.1
3805.1;3827.179931640625;3801.09
3801.09;3811.820068359375;3783.0
3783.0;3758.639892578125;3794.7
3794.7;3810.330078125;3799.8
3799.8;3803.139892578125;3800.1
3800.1;3807.659912109375;3810.63
3810.63;3809.3798828125;3816.38
3816.38;3829.989990234375;3797.2
3797.2;3795.530029296875;3806.3
3806.3;3798.360107421875;3804.34
3804.34;3801.739990234375;3809.67
3809.67;3822.68994140625;3797.19
3797.19;3782.530029296875;3798.9
3798.9;3792.260009765625;3790.1
3790.1;3786.889892578125;3801.1
3801.1;3807.320068359375;3800.02
3800.02;3805.780029296875;3800.2
3800.2;3798.360107421875;3794.0
3794.0;3787.909912109375;3793.7
3793.7;3787.64990234375;3794.5
3794.5;3796.39990234375;3804.78
3804.78;3811.3701171875;3805.0
3805.0;3808.550048828125;3810.9
3810.9;3818.06005859375;3809.0
3809.0;3804.429931640625;3821.7
3821.7;3824.669921875;3825.0
3825.0;3837.820068359375;3820.0
3820.0;3814.969970703125;3821.81
3821.81;3815.659912109375;3820.2
3820.2;3825.60009765625;3838.0
3838.0;3844.77001953125;3861.7
3861.7;3883.639892578125;3929.0
3929.0;3996.97998046875;3917.1
3917.1;3939.3798828125;3921.3
3921.3;3917.159912109375;3946.5
3946.5;3987.550048828125;3937.2
3937.2;3913.739990234375;3930.4
3930.4;3934.929931640625;3939.38
3939.38;3942.530029296875;3946.89
3946.89;3949.22998046875;3937.3
3937.3;3935.090087890625;3928.8
3928.8;3914.360107421875;3932.6
3932.6;3930.780029296875;3936.73
3936.73;3939.330078125;3957.24
3957.24;3965.260009765625;3930.0
3930.0;3917.43994140625;3929.0
3929.0;3915.719970703125;3928.4
3928.4;3930.0400390625;3915.39
3915.39;3916.31005859375;3922.72
3922.72;3907.60009765625;3922.6
3922.6;3923.760009765625;3919.8
3919.8;3922.260009765625;3936.3
3936.3;3950.110107421875;3930.1
3930.1;3943.06005859375;3932.6
3932.6;3931.860107421875;3938.8
3938.8;3931.919921875;3937.03
3937.03;3947.25;3945.1
3945.1;3961.6201171875;3945.9
3945.9;3933.330078125;3951.4
3951.4;3949.5;3940.0
3940.0;3935.4599609375;3933.5
3933.5;3925.5400390625;3941.0
3941.0;3938.639892578125;3944.7
3944.7;3957.510009765625;3952.81
3952.81;3950.02001953125;3949.1
3949.1;3952.35009765625;3943.0
3943.0;3940.0;3948.33
3948.33;3951.60009765625;3947.9
3947.9;3946.860107421875;3945.1
3945.1;3947.72998046875;3948.8
3948.8;3948.5400390625;3951.5
3951.5;3954.8701171875;3958.0
3958.0;3959.340087890625;3962.2
3962.2;3972.050048828125;3967.8
3967.8;3970.860107421875;3970.3
3970.3;3984.39990234375;3962.1
3962.1;3954.699951171875;3984.0
3984.0;3977.659912109375;3980.1
3980.1;3997.449951171875;3967.9
3967.9;3975.449951171875;3965.0
3965.0;3951.449951171875;3960.0
3960.0;3955.199951171875;3964.2
3964.2;3962.300048828125;3953.5
3953.5;3951.300048828125;3944.9
3944.9;3933.530029296875;3936.76
3936.76;3932.10009765625;3949.3
3949.3;3947.75;3953.09
3953.09;3961.75;3967.8
3967.8;3974.300048828125;3962.3
3962.3;3975.43994140625;3957.8
3957.8;3944.56005859375;3985.6
3985.6;3984.639892578125;3970.7
3970.7;3979.550048828125;3977.06
3977.06;3967.989990234375;3963.0
3963.0;3961.659912109375;3967.4
3967.4;3961.169921875;3979.01
3979.01;3988.469970703125;3972.8
3972.8;3971.330078125;3973.8
3973.8;3980.3701171875;3978.0
3978.0;3974.85009765625;3967.21
3967.21;3959.5;3963.5
3963.5;3958.6298828125;3968.38
3968.38;3970.969970703125;3973.81
3973.81;3977.2900390625;3963.3
3963.3;3955.320068359375;3964.9
3964.9;3966.02001953125;3960.1
3960.1;3957.0;3970.7
3970.7;3978.8701171875;3975.0
3975.0;3977.6298828125;3984.96
3984.96;3992.489990234375;3984.34
3984.34;3999.27001953125;3976.19
