entry_test_price;prediction;test_price
3832.6;3859.580078125;3830.5
3830.5;3959.330078125;3844.8
3844.8;3811.18994140625;3831.6
3831.6;3877.169921875;3824.1
3824.1;3922.43994140625;3831.6
3831.6;3939.6201171875;3841.6
3841.6;3896.760009765625;3825.0
3825.0;3880.89990234375;3833.25
3833.25;3900.179931640625;3827.9
3827.9;3918.969970703125;3846.8
3846.8;3894.909912109375;3859.9
3859.9;3887.580078125;3857.7
3857.7;3945.2099609375;3844.0
3844.0;3958.780029296875;3854.0
3854.0;3869.929931640625;3862.3
3862.3;3911.669921875;3856.3
3856.3;3893.25;3855.27
3855.27;3813.02001953125;3859.0
3859.0;3871.35009765625;3839.3
3839.3;3879.6201171875;3830.0
3830.0;3817.39990234375;3836.3
3836.3;3885.179931640625;3834.7
3834.7;3867.580078125;3820.02
3820.02;3837.530029296875;3809.94
3809.94;3774.89990234375;3844.4
3844.4;3866.949951171875;3883.9
3883.9;3943.60009765625;3879.3
3879.3;3891.989990234375;3862.2
3862.2;3811.320068359375;3950.0
3950.0;3902.81005859375;3974.8
3974.8;4084.550048828125;3948.9
3948.9;3982.75;3953.0
3953.0;3937.030029296875;3951.3
3951.3;3962.0;3959.8
3959.8;3980.719970703125;3938.8
3938.8;3946.3701171875;3941.2
3941.2;3961.050048828125;3940.7
3940.7;3895.719970703125;3926.0
3926.0;3917.449951171875;3933.1
3933.1;3921.429931640625;3942.4
3942.4;3934.2900390625;3935.3
3935.3;3941.1298828125;3937.0
3937.0;3956.739990234375;3956.9
3956.9;3965.68994140625;3949.09
3949.09;3984.27001953125;3953.1
3953.1;3953.360107421875;3975.3
3975.3;4000.85009765625;3979.1
3979.1;4014.7900390625;3985.0
3985.0;3978.580078125;3975.1
3975.1;3945.389892578125;4015.2
4015.2;4025.9599609375;4016.0
4016.0;4027.510009765625;3992.4
3992.4;3981.97998046875;3979.8
3979.8;4003.989990234375;3995.24
3995.24;3995.639892578125;4040.06
4040.06;4027.18994140625;4046.25
4046.25;4049.489990234375;4027.36
4027.36;4008.030029296875;4069.3
4069.3;4090.919921875;4048.8
4048.8;4059.22998046875;4022.0
4022.0;4046.18994140625;4023.9
4023.9;4005.050048828125;4017.3
4017.3;4043.5;4024.9
4024.9;4011.889892578125;4027.6
4027.6;4053.989990234375;4009.73
4009.73;3995.6201171875;3999.02
3999.02;3980.239990234375;3996.0
3996.0;3986.68994140625;4007.8
4007.8;4004.159912109375;3996.1
3996.1;4012.8701171875;3978.76
3978.76;3970.5400390625;3987.0
3987.0;3975.929931640625;3979.2
3979.2;3981.89990234375;3977.6
3977.6;3962.14990234375;3985.4
3985.4;3966.31005859375;3986.5
3986.5;4010.719970703125;3983.7
3983.7;3964.52001953125;3986.2
3986.2;3972.239990234375;3970.0
3970.0;3985.070068359375;3913.9
3913.9;3872.800048828125;3924.73
3924.73;3901.050048828125;3920.0
3920.0;3908.52001953125;3913.8
3913.8;3953.489990234375;3932.4
3932.4;3924.739990234375;3935.8
3935.8;3952.64990234375;3932.4
3932.4;3936.31005859375;3928.7
3928.7;3934.800048828125;3915.7
