1514815200,13022,13200,12777,13164,2349.939632,39.94552882433045,0,1,1,0
1514818800,13171,13290,13085,13208,1229.65267927,41.21004956417707,0,1,1,0
1514822400,13208,13209,12969,12998,1039.8844381899999,37.185598196808826,0,0,0,0
1514826000,12999,13177,12986,12997,704.3060415000001,37.166984773032944,0,0,0,0
1514829600,12993,13289,12950.00953353,13105,1467.6323453900004,40.623771156169866,0,1,1,1
1514833200,13106,13253,13050,13249,785.81263479,44.97088106647182,0,1,1,1
1514836800,13254,13499,13249,13404,1553.45788576,49.2757280748927,0,1,1,1
1514840400,13404,13662,13382,13505,1713.5443199300005,51.91537450615927,1,1,1,1
1514844000,13505,13637,13465,13483,865.4336226400001,51.289276244484945,1,0,1,1
1514847600,13478,13492,13341,13377,1078.99075811,48.26876431362427,1,0,0,1
1514851200,13374,13898,13373,13817,2731.0554489800006,59.04942709253131,1,1,1,1
1514854800,13816,13863,13609,13611,1515.769052419999,53.43485723569659,1,0,1,1
1514858400,13610,13656,13416,13550,2006.9740165999997,51.86232315551716,1,0,0,1
1514862000,13551,13551,13200,13316,2159.435325359999,46.24059856187394,1,0,0,0
1514865600,13315,13382,12800,13042,3124.9878543700006,40.680040675523735,0,0,0,0
1514869200,13045,13166,12997,13091,1396.30206918,42.02275219550232,0,1,0,0
1514872800,13091,13327,13008,13266,833.6292856500005,46.665909684156205,0,1,1,0
1514876400,13266,13370,13144.78756118,13354,850.96346231,48.88283902467021,0,1,1,0
1514880000,13356,13452,13326.15344954,13376,811.4489661200001,49.44856373725827,0,1,1,1
1514883600,13376,13568,13372,13492,1308.6350503000006,52.4375416820771,1,1,1,1
1514887200,13493,13679,13491,13631,1094.2243794,55.80933714259347,0,1,1,1
1514890800,13631,13631,13426,13532,1017.4784200500001,52.93118578451961,0,0,1,1
1514894400,13530,13625,13503.20378177,13578,1007.7754492299999,54.11526913359856,1,1,0,1
1514898000,13578,13979,13565,13944,2406.9669899299993,62.25201462171923,1,1,1,1
1514901600,13946,13969,13744,13788,1538.8667456700002,57.56626786180624,1,0,1,1
1514905200,13787,13884,13577,13710,1490.8918781500001,55.323969380603934,1,0,0,1
1514908800,13712,13895,13663,13674,1373.71027838,54.273209613186864,1,0,0,1
1514912400,13675,13938,13674,13889,1981.0225707000002,59.250909061901034,1,1,1,1
1514916000,13889,14786,13888,14621,8532.861869619997,70.87542453295042,1,1,1,1
1514919600,14616,15500,14601,14820,7444.375869079997,73.12037526899663,1,1,1,1
1514923200,14821,15285,14821,14827,4561.13658592,73.19863417727683,1,1,1,1
1514926800,14826,15016,14700,14803,2060.58694244,72.42011790128026,1,0,0,1
1514930400,14802,15025,14773,14812,2384.3488386100003,72.53807163699388,1,1,0,1
1514934000,14812,14892,14636,14713,1635.7700354299998,69.04023958499988,1,0,0,1
1514937600,14723.09574779,14960,14692,14806,1633.0534651600008,70.48028928658411,1,1,0,0
1514941200,14796,14868,14720,14822,1198.0355671700006,70.73251364865273,1,1,1,0
1514944800,14824,15112,14740,15048,1957.3024751700007,74.09891595767115,1,1,1,1
1514948400,15050,15249,14807,14843,1846.6113692000004,66.6141660732192,1,0,1,1
1514952000,14842,15186,14842,15101,1544.7500229899997,70.63442866574297,1,1,1,1
1514955600,15100,15184.52562524,15014,15089,915.4442176299999,70.21093863155367,1,0,1,1
1514959200,15089,15417,15020,15398,1687.7616613599994,74.45762301600531,1,1,1,1
1514962800,15404,15428.83091885,15184,15281,1782.9703478900003,70.36713521162979,1,0,1,1
1514966400,15281,15285,15052,15094,1635.4520597100004,64.28807065997506,1,0,0,1
1514970000,15097,15125,14778,14821,2327.4807881199995,56.60044146989907,1,0,0,0
1514973600,14820,14895,14507,14682,2779.290221870001,53.117572841622604,0,0,0,0
1514977200,14682,14864,14632,14844,1298.6513076399997,56.47883714558059,1,1,1,0
1514980800,14848,14871,14500,14595.97714764,1273.38734331,50.508258536380445,0,0,0,0
1514984400,14594,14940,14552,14898,1090.59502917,56.53403206388571,1,1,1,0
1514988000,14898,15072,14840,14856,1804.4891958700002,55.52166810448417,0,0,1,1
1514991600,14861,15072,14861,15072,1539.6517230200004,59.534918678208314,0,1,1,1
1514995200,15072,15214,15032,15100,1691.7645299399992,60.0382812361223,0,1,1,1
1514998800,15100,15103,14850,14874,1618.1972753700004,54.179946860004996,0,0,0,1
1515002400,14877,14918.1726201,14751,14751,1763.1100953,51.248969918547026,0,0,0,0
1515006000,14752,14877,14725,14726,1340.96237046,50.64922549802066,0,0,0,0
1515009600,14726,15006,14703,15001,1501.74142929,56.657775037116586,1,1,1,0
1515013200,15001,15058,14866,15028,1504.4656209799994,57.208642963083825,1,1,1,0
1515016800,15033,15042.12949834,14833.04413864,14842.65725863,999.5003338699995,52.295111074983716,1,0,0,0
1515020400,14842.65725863,15192,14842,15151,1427.8953651200006,58.656884562717075,1,1,1,1
1515024000,15140,15166,14998,15081.09782898,1708.2218643000003,56.80735309944239,1,0,1,1
1515027600,15077,15350,14936,15320,2795.8595650999996,61.29875256382379,1,1,1,1
1515031200,15302,15422.15785315,15185,15210,1823.7082621900001,58.29305091781297,1,0,1,1
1515034800,15211,15248.14896269,15044,15055,1815.3551815300004,54.25598724478421,1,0,0,1
1515038400,15055,15055,14802,14896,1747.1823793699998,50.40005055245781,1,0,0,0
1515042000,14894,14953,14750,14846.69836849,1457.6531298700002,49.231693531018124,1,0,0,0
1515045600,14846.69836849,15051,14828,14852,1509.5078291000002,49.36761985481146,0,1,0,0
1515049200,14852,14910,14753,14795,1779.33775119,47.883233523147574,0,0,0,0
