dont_skip_probab;entry_test_price;prediction;test_price;timeStamp;volume
0.4779999852180481;3903.5;3976.6201171875;3906.9;1551387000;10.75
0.2849999964237213;3906.9;3925.260009765625;3886.4;1551390000;11.44
0.1720000058412552;3886.4;3893.239990234375;3900.84;1551393000;12.82
0.09099999815225601;3900.84;3896.489990234375;3899.3;1551396000;0.06
0.10300000011920929;3899.3;3895.72998046875;3898.6;1551399000;8.65
0.08799999952316284;3898.6;3900.179931640625;3904.5;1551402000;1.5
0.08100000023841858;3904.5;3905.5;3903.1;1551405000;0.2
0.11900000274181366;3903.1;3908.2099609375;3908.85;1551408000;0.03
0.0949999988079071;3908.85;3909.02001953125;3901.91;1551411000;9.25
0.09000000357627869;3901.91;3899.18994140625;3903.0;1551414000;5.07
0.08299999684095383;3903.0;3900.75;3904.2;1551417000;2.8
0.08500000089406967;3904.2;3905.030029296875;3908.5;1551420000;2.46
0.09000000357627869;3908.5;3908.409912109375;3912.1;1551423000;13.76
0.20600000023841858;3912.1;3908.699951171875;3919.14;1551426000;96.24
0.21799999475479126;3919.14;3927.72998046875;3925.3;1551429000;29.41
0.17800000309944153;3925.3;3935.75;3919.1;1551432000;0.28
0.0949999988079071;3919.1;3921.169921875;3921.0;1551435000;2.89
0.0949999988079071;3921.0;3918.3798828125;3912.2;1551438000;7.96
0.0949999988079071;3912.2;3907.35009765625;3914.6;1551441000;0.14
0.07800000160932541;3914.6;3912.72998046875;3916.0;1551444000;0.25
0.0860000029206276;3916.0;3916.360107421875;3922.78;1551447000;4.49
0.12600000202655792;3922.78;3926.860107421875;3930.0;1551450000;6.26
0.1509999930858612;3930.0;3937.590087890625;3920.0;1551453000;1.75
0.09000000357627869;3920.0;3922.010009765625;3937.99;1551456000;0.69
0.10700000077486038;3937.99;3940.9599609375;3945.0;1551459000;4.28
0.1850000023841858;3945.0;3955.010009765625;3938.0;1551462000;5.01
0.10400000214576721;3938.0;3941.489990234375;3942.9;1551465000;0.9
0.09099999815225601;3942.9;3944.929931640625;3937.2;1551468000;1.07
0.0729999989271164;3937.2;3936.3798828125;3938.6;1551471000;0.22
0.07100000232458115;3938.6;3938.429931640625;3941.8;1551474000;1.16
0.13500000536441803;3941.8;3942.800048828125;3928.5;1551477000;20.72
0.08100000023841858;3928.5;3926.030029296875;3920.0;1551480000;0.45
0.12800000607967377;3920.0;3911.25;3918.42;1551483000;0.07
0.09600000083446503;3918.42;3913.35009765625;3919.4;1551486000;0.0
0.0729999989271164;3919.4;3918.43994140625;3919.2;1551489000;0.25
0.10000000149011612;3919.2;3920.31005859375;3922.1;1551492000;7.96
0.07800000160932541;3922.1;3922.580078125;3923.5;1551495000;0.21
0.1120000034570694;3923.5;3927.969970703125;3901.4;1551498000;0.12
0.2070000022649765;3901.4;3908.9599609375;3913.8;1551501000;28.28
0.19599999487400055;3913.8;3900.580078125;3908.64;1551504000;6.2
0.08900000154972076;3908.64;3905.820068359375;3905.79;1551507000;4.07
0.11599999666213989;3905.79;3909.25;3889.2;1551510000;5.14
0.28999999165534973;3889.2;3888.8701171875;3886.1;1551513000;381.27
0.3140000104904175;3886.1;3857.300048828125;3897.8;1551516000;67.44
0.22100000083446503;3897.8;3910.760009765625;3896.7;1551519000;8.2
0.10700000077486038;3896.7;3900.25;3905.4;1551522000;1.7
0.10100000351667404;3905.4;3908.4599609375;3912.4;1551525000;1.36
0.2370000034570694;3912.4;3928.1201171875;3911.6;1551528000;2.2
0.0729999989271164;3911.6;3911.47998046875;3917.0;1551531000;3.12
0.11599999666213989;3917.0;3920.5;3909.1;1551534000;5.01
0.08500000089406967;3909.1;3910.639892578125;3904.8;1551537000;0.43
0.12399999797344208;3904.8;3896.68994140625;3899.1;1551540000;1.3
0.11100000143051147;3899.1;3895.530029296875;3906.14;1551543000;12.19
0.10700000077486038;3906.14;3909.080078125;3900.8;1551546000;4.21
0.0860000029206276;3900.8;3902.52001953125;3906.1;1551549000;0.26
0.07699999958276749;3906.1;3904.360107421875;3908.0;1551552000;0.06
0.11500000208616257;3908.0;3912.25;3907.9;1551555000;1.97
0.16099999845027924;3907.9;3913.159912109375;3906.1;1551558000;15.5
0.0860000029206276;3906.1;3902.580078125;3910.0;1551561000;0.23
0.10999999940395355;3910.0;3914.010009765625;3912.0;1551564000;1.29
0.09000000357627869;3912.0;3913.949951171875;3912.8;1551567000;1.14
0.09200000017881393;3912.8;3915.030029296875;3914.6;1551570000;0.86
0.1889999955892563;3914.6;3921.030029296875;3922.8;1551573000;24.08
0.11699999868869781;3922.8;3927.72998046875;3920.0;1551576000;0.14
0.09799999743700027;3920.0;3923.1201171875;3914.9;1551579000;0.24
0.07999999821186066;3914.9;3912.570068359375;3913.7;1551582000;0.03
0.10499999672174454;3913.7;3907.659912109375;3917.1;1551585000;1.17
0.1289999932050705;3917.1;3922.760009765625;3915.1;1551588000;1.31
0.07400000095367432;3915.1;3913.989990234375;3915.3;1551591000;0.02
0.08500000089406967;3915.3;3912.340087890625;3914.7;1551594000;1.48
0.08299999684095383;3914.7;3916.0;3916.4;1551597000;0.16
0.09099999815225601;3916.4;3914.570068359375;3905.0;1551600000;8.23
0.09799999743700027;3905.0;3900.31005859375;3909.43;1551603000;2.49
0.08900000154972076;3909.43;3905.429931640625;3912.21;1551606000;0.3
0.1379999965429306;3912.21;3918.919921875;3913.7;1551609000;0.05
0.164000004529953;3913.7;3914.840087890625;3911.7;1551612000;32.05
0.09600000083446503;3911.7;3913.860107421875;3907.5;1551615000;2.7
