dont_skip_probab;entry_test_price;prediction;test_price;volume
0.1850000023841858;5058.2;5063.330078125;5070.0;0.03
0.3269999921321869;5070.0;5086.6298828125;5070.3;1.83
0.30300000309944153;5070.3;5083.47021484375;5072.69;4.64
0.28600001335144043;5072.69;5057.39990234375;5059.5;3.48
0.2029999941587448;5059.5;5055.2998046875;5039.1;17.46
0.18299999833106995;5039.1;5033.85986328125;5038.89;6.66
0.22699999809265137;5038.89;5030.7099609375;5043.08;11.62
0.2370000034570694;5043.08;5052.169921875;5047.2;0.5
0.335999995470047;5047.2;5028.47998046875;5055.8;9.2
0.2290000021457672;5055.8;5064.10986328125;5076.66;1.5
0.4300000071525574;5076.66;5106.72998046875;5082.39;0.09
0.42899999022483826;5082.39;5110.2099609375;5066.0;18.43
0.27900001406669617;5066.0;5076.93994140625;5100.03;5.39
0.4350000023841858;5100.03;5129.2001953125;5194.2;29.69
0.4320000112056732;5194.2;5223.7099609375;5179.5;18.24
0.44699999690055847;5179.5;5250.47998046875;5197.0;444.41
0.18400000035762787;5197.0;5190.64013671875;5217.5;3.79
0.1940000057220459;5217.5;5212.419921875;5222.7;11.86
0.32899999618530273;5222.7;5236.18017578125;5203.1;19.82
0.27799999713897705;5203.1;5189.1298828125;5060.1;7.42
0.4569999873638153;5060.1;4987.8701171875;5079.9;96.57
0.4779999852180481;5079.9;5002.2998046875;5069.4;20.69
0.17299999296665192;5069.4;5072.25;5108.2;5.01
0.26899999380111694;5108.2;5106.2900390625;5091.1;46.25
0.3630000054836273;5091.1;5110.89013671875;5103.5;8.65
0.3880000114440918;5103.5;5079.1201171875;5110.37;28.6
0.16599999368190765;5110.37;5113.06982421875;5178.99;2.75
0.4169999957084656;5178.99;5203.31005859375;5190.4;28.92
0.45399999618530273;5190.4;5231.16015625;5203.3;147.39
0.3179999887943268;5203.3;5219.02978515625;5195.7;2.73
0.26899999380111694;5195.7;5207.3798828125;5176.8;0.51
0.21799999475479126;5176.8;5167.81005859375;5196.18;6.71
0.30300000309944153;5196.18;5183.68017578125;5181.16;20.14
0.32100000977516174;5181.16;5197.009765625;5204.0;3.55
0.25699999928474426;5204.0;5213.1298828125;5190.0;7.21
0.3840000033378601;5190.0;5212.02001953125;5197.1;12.05
0.1420000046491623;5197.1;5194.919921875;5189.1;0.45
0.19900000095367432;5189.1;5185.33984375;5179.08;17.98
0.22499999403953552;5179.08;5169.22021484375;5195.0;5.64
0.3230000138282776;5195.0;5210.81982421875;5192.4;5.33
0.20499999821186066;5192.4;5196.97998046875;5183.2;9.46
0.2160000056028366;5183.2;5190.77978515625;5175.5;1.01
0.23899999260902405;5175.5;5182.27001953125;5110.6;11.38
0.27399998903274536;5110.6;5116.740234375;5164.05;23.4
0.23800000548362732;5164.05;5153.27001953125;5171.8;6.52
0.38199999928474426;5171.8;5195.830078125;5165.4;1.33
0.18299999833106995;5165.4;5158.06982421875;5183.3;0.1
0.328000009059906;5183.3;5200.2900390625;5221.1;3.0
0.3009999990463257;5221.1;5224.4599609375;5211.22;43.5
0.16099999845027924;5211.22;5212.8701171875;5221.9;5.22
0.2160000056028366;5221.9;5228.43017578125;5216.3;5.54
0.46399998664855957;5216.3;5257.0;5235.5;20.93
0.3700000047683716;5235.5;5215.14013671875;5281.49;33.86
0.41999998688697815;5281.49;5303.81005859375;5308.2;84.86
0.46799999475479126;5308.2;5351.9599609375;5333.7;36.78
0.4269999861717224;5333.7;5360.68994140625;5300.0;48.59
0.382999986410141;5300.0;5278.3701171875;5296.5;65.18
0.4359999895095825;5296.5;5252.18017578125;5321.4;80.39
0.335999995470047;5321.4;5332.06982421875;5297.8;35.94
0.21699999272823334;5297.8;5305.52001953125;5287.3;1.63
0.21400000154972076;5287.3;5282.18017578125;5253.6;18.82
0.4020000100135803;5253.6;5224.33984375;5258.18;19.02
0.3009999990463257;5258.18;5271.89013671875;5258.0;3.34
0.3240000009536743;5258.0;5245.2099609375;5274.99;32.32
0.33000001311302185;5274.99;5291.7001953125;5258.1;6.42
0.1889999955892563;5258.1;5262.169921875;5194.2;6.35
0.4620000123977661;5194.2;5130.31982421875;5197.09;39.32
0.4300000071525574;5197.09;5161.52001953125;5223.74;17.18
0.39800000190734863;5223.74;5245.080078125;5213.0;24.09
0.28299999237060547;5213.0;5224.0498046875;5248.9;7.22
0.19599999487400055;5248.9;5250.7001953125;5253.2;17.47
0.41600000858306885;5253.2;5280.919921875;5249.9;4.58
0.16899999976158142;5249.9;5250.4599609375;5227.9;12.71
0.3269999921321869;5227.9;5210.2001953125;5244.98;11.09
0.1599999964237213;5244.98;5241.6201171875;5232.2;4.7
0.4320000112056732;5232.2;5263.02001953125;5235.3;3.86
0.2540000081062317;5235.3;5221.2900390625;5269.8;0.53
0.2709999978542328;5269.8;5281.27978515625;5302.9;2.57
0.47600001096725464;5302.9;5350.5498046875;5323.5;14.31
0.35899999737739563;5323.5;5302.5;5298.0;18.29
0.210999995470047;5298.0;5291.14013671875;5306.1;12.25
0.28299999237060547;5306.1;5314.56005859375;5276.0;18.09
0.24300000071525574;5276.0;5262.9599609375;5270.9;0.98
0.4180000126361847;5270.9;5233.60986328125;5277.29;199.35
0.3869999945163727;5277.29;5302.72021484375;5270.2;0.28
0.13099999725818634;5270.2;5269.97998046875;5261.0;1.18
0.4309999942779541;5261.0;5224.97021484375;5245.1;20.63
0.15199999511241913;5245.1;5247.02001953125;5228.0;0.64
0.4050000011920929;5228.0;5197.72021484375;5255.8;12.44
0.4339999854564667;5255.8;5286.52978515625;5263.3;10.04
