953.96;950.72998046875;955.95;1.7
955.95;947.8099975585938;960.59;7.36
960.59;953.719970703125;959.0;22.11
959.0;964.4299926757812;950.0;4.38
950.0;963.6799926757812;951.52;49.72
951.52;949.989990234375;953.21;10.05
953.21;948.1900024414062;950.49;10.28
950.49;949.8900146484375;949.99;18.34
949.99;949.3300170898438;948.59;7.19
948.59;949.4500122070312;949.94;0.26
949.94;950.780029296875;950.43;7.24
950.43;950.010009765625;960.92;16.21
960.92;961.6099853515625;958.96;18.55
958.96;959.7999877929688;960.38;0.48
960.38;958.2000122070312;955.69;11.34
955.69;957.1500244140625;953.86;64.08
953.86;954.2000122070312;953.2;7.78
953.2;951.8300170898438;953.24;0.12
953.24;952.6199951171875;955.48;0.0
955.48;956.489990234375;954.4;0.02
954.4;955.4000244140625;953.91;0.14
953.91;953.5499877929688;958.25;3.44
958.25;960.9500122070312;960.73;0.02
960.73;960.4299926757812;961.66;33.42
961.66;962.8699951171875;963.51;0.35
963.51;965.1199951171875;964.01;1.23
964.01;963.6599731445312;960.0;0.69
960.0;961.27001953125;960.28;1.41
960.28;958.4600219726562;963.0;1.48
963.0;962.4199829101562;963.7;2.33
963.7;963.7000122070312;965.59;0.28
965.59;964.8499755859375;966.77;16.1
966.77;967.9099731445312;966.71;2.51
966.71;966.4099731445312;965.59;1.87
965.59;966.3699951171875;966.59;0.2
966.59;965.2000122070312;965.01;0.0
965.01;964.52001953125;963.37;0.0
963.37;963.22998046875;962.97;1.49
962.97;962.2899780273438;964.88;0.0
964.88;963.989990234375;965.17;1.15
965.17;965.280029296875;966.56;12.37
966.56;967.6300048828125;965.7;1.19
965.7;965.2899780273438;965.81;1.0
965.81;965.3400268554688;970.0;0.0
970.0;966.1699829101562;977.59;211.8
977.59;976.1300048828125;977.81;50.68
977.81;979.9600219726562;976.16;6.26
976.16;977.030029296875;974.89;14.0
974.89;973.2100219726562;977.86;0.0
977.86;976.52001953125;979.77;0.0
979.77;978.0499877929688;981.98;9.42
981.98;979.5399780273438;996.25;90.67
996.25;992.8499755859375;994.37;12.49
994.37;999.0599975585938;998.96;10.57
998.96;995.989990234375;1001.2;121.64
1001.2;1000.510009765625;1002.5;206.87
1002.5;999.0599975585938;1004.7;24.99
1004.7;1004.3300170898438;1005.8;35.37
1005.8;1005.7999877929688;1004.7;1.21
1004.7;1004.6900024414062;1000.0;9.4
1000.0;1000.8300170898438;999.0;3.32
999.0;997.3099975585938;1000.0;13.34
1000.0;1000.3200073242188;1002.4;0.0
1002.4;999.9500122070312;1008.6;1.21
1008.6;1004.5800170898438;1013.5;14.69
1013.5;1013.7100219726562;1016.4;2.34
1016.4;1016.3400268554688;1016.3;11.79
1016.3;1016.0900268554688;1011.8;0.0
1011.8;1012.6799926757812;1016.7;2.53
1016.7;1013.8400268554688;1016.4;12.15
1016.4;1015.6900024414062;1017.4;2.03
1017.4;1016.3699951171875;1016.4;51.38
1016.4;1015.5700073242188;1023.7;6.86
1023.7;1023.27001953125;1026.4;41.04
1026.4;1026.1600341796875;1034.5;29.61
1034.5;1032.6099853515625;1029.8;60.02
1029.8;1030.1600341796875;1015.0;3.35
1015.0;1021.2100219726562;1022.6;73.49
1022.6;1018.8800048828125;1029.2;76.64
1029.2;1027.6199951171875;1032.0;21.38
1032.0;1030.8900146484375;1029.2;61.39
1029.2;1030.8199462890625;1027.1;46.69
1027.1;1025.5999755859375;1026.6;67.96
1026.6;1026.9000244140625;1020.1;44.32
1020.1;1020.3499755859375;1009.7;29.84
1009.7;1009.5599975585938;1016.6;289.74
1016.6;1016.1699829101562;1015.9;98.92
1015.9;1017.0599975585938;1022.4;3.38
1022.4;1020.3300170898438;1021.2;0.75
1021.2;1020.010009765625;1025.8;9.59
1025.8;1021.97998046875;1025.8;32.34
1025.8;1027.530029296875;1025.6;43.63
1025.6;1026.0899658203125;1025.9;0.01
1025.9;1023.3200073242188;1031.0;0.25
1031.0;1028.6700439453125;1027.7;8.01
1027.7;1028.1500244140625;1025.7;5.3
1025.7;1025.0799560546875;1025.7;7.6
1025.7;1025.449951171875;1019.0;32.03
1019.0;1022.280029296875;1021.4;19.55
1021.4;1019.5599975585938;1017.6;6.83
1017.6;1019.5700073242188;1019.4;4.67
1019.4;1019.1699829101562;1015.1;42.88
1015.1;1015.530029296875;1021.7;1.48
1021.7;1019.8599853515625;1022.7;0.02
1022.7;1022.47998046875;1024.7;9.79
1024.7;1024.4000244140625;1019.8;13.76
1019.8;1020.9099731445312;1020.3;11.44
1020.3;1019.5999755859375;1016.8;32.28
1016.8;1017.719970703125;1019.7;36.64
1019.7;1020.8699951171875;1021.4;5.33
1021.4;1020.6300048828125;1021.7;13.52
1021.7;1020.8800048828125;1024.1;32.79
1024.1;1023.2899780273438;1020.8;5.32
1020.8;1020.9600219726562;1023.5;8.72
1023.5;1022.510009765625;1029.0;12.61
1029.0;1026.2099609375;1027.9;254.62
1027.9;1029.989990234375;1031.6;32.11
1031.6;1031.3199462890625;1036.9;73.1
1036.9;1036.5;1039.1;12.73
1039.1;1040.25;1048.3;1.32
1048.3;1041.7900390625;1046.3;543.87
1046.3;1045.280029296875;1045.3;31.9
1045.3;1045.5899658203125;1049.7;16.3
1049.7;1047.760009765625;1053.1;75.14
1053.1;1051.8599853515625;1056.2;9.44
1056.2;1057.219970703125;1058.9;13.59
1058.9;1057.52001953125;1063.8;70.39
1063.8;1060.1700439453125;1059.4;50.92
1059.4;1061.5400390625;1055.8;103.89
1055.8;1060.3199462890625;1065.0;16.05
