dont_skip_probab;entry_test_price;prediction;test_price;volume
0.4189999997615814;4016.9;4037.52001953125;4025.1;47.11
0.33899998664855957;4025.1;4036.610107421875;4020.91;2.85
0.2150000035762787;4020.91;4017.909912109375;4024.1;9.54
0.23199999332427979;4024.1;4027.929931640625;4015.0;0.06
0.2980000078678131;4015.0;4023.52001953125;3988.7;1.34
0.3269999921321869;3988.7;3974.360107421875;3996.0;0.3
0.27300000190734863;3996.0;3987.050048828125;3997.9;3.33
0.2070000022649765;3997.9;3994.510009765625;3999.2;2.75
0.25200000405311584;3999.2;4004.090087890625;3973.0;3.03
0.2529999911785126;3973.0;3967.340087890625;3983.1;12.12
0.38199999928474426;3983.1;3964.219970703125;3982.0;29.99
0.3149999976158142;3982.0;3985.989990234375;3973.0;43.6
0.21899999678134918;3973.0;3968.9599609375;3977.63;5.02
0.23600000143051147;3977.63;3973.6298828125;3987.0;14.27
0.3700000047683716;3987.0;3998.2900390625;3985.0;38.69
0.22300000488758087;3985.0;3987.6201171875;3973.8;3.01
0.210999995470047;3973.8;3975.469970703125;3975.3;1.9
0.18299999833106995;3975.3;3974.77001953125;3921.7;3.5
0.2630000114440918;3921.7;3913.330078125;3912.8;0.0
0.4399999976158142;3912.8;3875.300048828125;3905.2;33.58
0.20600000023841858;3905.2;3906.0;3927.0;4.82
0.2759999930858612;3927.0;3918.8798828125;3914.7;9.9
0.22699999809265137;3914.7;3913.820068359375;3930.2;27.96
0.33500000834465027;3930.2;3941.18994140625;3934.8;2.33
0.3009999990463257;3934.8;3942.489990234375;3924.1;8.05
0.2590000033378601;3924.1;3918.56005859375;3926.57;15.33
0.2070000022649765;3926.57;3923.110107421875;3907.8;1.92
0.2549999952316284;3907.8;3911.7900390625;3907.1;10.73
0.3499999940395355;3907.1;3893.7099609375;3922.9;23.56
0.2370000034570694;3922.9;3926.6298828125;3917.0;3.01
0.2529999911785126;3917.0;3919.7900390625;3918.97;18.49
0.21899999678134918;3918.97;3921.52001953125;3935.1;0.34
0.3799999952316284;3935.1;3951.0400390625;3930.0;3.31
0.24699999392032623;3930.0;3934.510009765625;3940.0;2.52
0.26899999380111694;3940.0;3945.64990234375;3953.0;6.29
0.30799999833106995;3953.0;3961.679931640625;3953.6;4.46
0.27300000190734863;3953.6;3956.5400390625;3952.58;27.99
0.28999999165534973;3952.58;3960.3701171875;3935.3;1.18
0.30000001192092896;3935.3;3923.72998046875;3925.1;1.74
0.32600000500679016;3925.1;3911.139892578125;3936.2;0.4
0.25;3936.2;3929.0;3931.0;1.51
0.2709999978542328;3931.0;3937.239990234375;3916.2;2.87
0.37599998712539673;3916.2;3898.080078125;3910.0;6.82
0.2849999964237213;3910.0;3900.570068359375;3911.0;6.56
0.24899999797344208;3911.0;3905.280029296875;3874.6;9.48
0.4230000078678131;3874.6;3846.93994140625;3879.7;18.86
0.37400001287460327;3879.7;3861.9599609375;3889.9;5.52
0.27300000190734863;3889.9;3894.06005859375;3892.4;18.7
0.37599998712539673;3892.4;3906.02001953125;3889.0;19.91
0.23199999332427979;3889.0;3891.889892578125;3887.2;5.77
0.2840000092983246;3887.2;3878.090087890625;3884.1;7.81
0.2709999978542328;3884.1;3877.679931640625;3925.9;16.76
0.39800000190734863;3925.9;3900.320068359375;3972.05;154.79
0.44999998807907104;3972.05;4006.8798828125;3948.0;150.78
0.46000000834465027;3948.0;3986.639892578125;3959.4;8.41
0.19499999284744263;3959.4;3959.659912109375;3982.9;1.69
0.39399999380111694;3982.9;3960.510009765625;3999.0;107.73
0.42100000381469727;3999.0;4019.22998046875;3988.0;100.14
0.2750000059604645;3988.0;3979.510009765625;3993.23;7.74
0.23999999463558197;3993.23;3997.510009765625;3989.3;1.13
0.3190000057220459;3989.3;3981.1298828125;3994.5;38.35
0.3050000071525574;3994.5;4001.929931640625;3996.5;12.76
0.2409999966621399;3996.5;3997.570068359375;4011.3;24.53
0.4020000100135803;4011.3;4026.139892578125;3975.6;58.09
0.41200000047683716;3975.6;3951.360107421875;3963.2;7.77
0.3050000071525574;3963.2;3953.219970703125;3965.6;17.9
0.296999990940094;3965.6;3954.3798828125;3963.83;3.17
0.2160000056028366;3963.83;3966.139892578125;3957.0;0.86
0.20200000703334808;3957.0;3957.860107421875;3967.3;1.89
0.3630000054836273;3967.3;3955.389892578125;3971.7;79.43
0.39899998903274536;3971.7;3990.02001953125;3972.3;2.09
0.2639999985694885;3972.3;3977.6201171875;3956.9;6.04
0.367000013589859;3956.9;3939.68994140625;3960.3;4.4
0.2240000069141388;3960.3;3956.110107421875;3966.5;7.05
0.24699999392032623;3966.5;3969.159912109375;3942.9;16.41
0.4230000078678131;3942.9;3964.669921875;3961.1;45.56
0.3199999928474426;3961.1;3953.64990234375;3966.5;42.97
0.1979999989271164;3966.5;3966.14990234375;3966.0;14.38
0.29899999499320984;3966.0;3970.909912109375;3972.26;28.14
0.3230000138282776;3972.26;3976.31005859375;3966.0;53.39
0.35100001096725464;3966.0;3961.389892578125;3962.5;110.15
0.23800000548362732;3962.5;3956.3798828125;3965.4;2.28
0.20399999618530273;3965.4;3966.72998046875;3926.0;0.39
0.4690000116825104;3926.0;3876.340087890625;3920.7;11.06
0.2370000034570694;3920.7;3921.860107421875;3917.1;21.35
0.3199999928474426;3917.1;3903.60009765625;3926.3;0.37
0.40299999713897705;3926.3;3945.06005859375;3907.8;0.04
0.34299999475479126;3907.8;3912.919921875;3913.9;65.47
0.38600000739097595;3913.9;3894.10009765625;3920.1;2.16
0.28999999165534973;3920.1;3926.5;3913.5;11.27
