close_prediction;entry_test_price;exit_high_price;exit_low_price;high_prediction;low_prediction;ml_tx;test_price;timeStamp;volume
617.3099975585938;981.78;983.0;947.71;797.489990234375;668.530029296875;5.81;974.74;1482883200;11661.46
975.2100219726562;974.74;974.32;929.85;836.5399780273438;821.9199829101562;5.78;959.0;1482969600;11085.44
849.1799926757812;959.0;968.2;945.02;800.010009765625;845.1900024414062;5.76;968.0;1483056000;8418.02
870.02001953125;968.0;1006.5;962.11;937.8699951171875;1028.9200439453125;6.15;998.99;1483142400;3362.91
992.2100219726562;998.99;1035.0;997.3;935.72998046875;838.8400268554688;7.28;1019.3;1483228800;8432.76
899.9199829101562;1019.3;1040.0;1013.9;1008.9099731445312;972.4199829101562;10.67;1037.6;1483315200;12490.0
1023.8099975585938;1037.6;1150.0;1037.6;888.530029296875;897.27001953125;6.44;1139.6;1483401600;7416.83
885.2100219726562;1139.6;1166.0;864.9;924.5;941.530029296875;6.13;1003.9;1483488000;29432.77
904.3099975585938;1003.9;1025.0;873.31;976.530029296875;965.1599731445312;5.94;898.5;1483574400;41803.05
956.3300170898438;898.5;911.09;817.66;1052.8299560546875;904.9400024414062;6.24;908.85;1483660800;25892.43
959.8300170898438;908.85;943.6;890.3;942.4400024414062;864.75;4.71;916.0;1483747200;17273.23
983.1300048828125;916.0;916.7;876.11;1052.550048828125;922.5900268554688;5.86;904.8;1483833600;14609.07
920.1300048828125;904.8;918.0;897.0;1128.0400390625;861.2000122070312;6.52;906.45;1483920000;8001.07
1026.469970703125;906.45;923.66;760.4;1036.239990234375;1009.4099731445312;6.01;779.54;1484006400;6357.19
931.7000122070312;779.54;831.1;744.48;973.5700073242188;904.3400268554688;5.1;804.58;1484092800;27595.4
827.3599853515625;804.58;832.39;776.1;931.4400024414062;663.72998046875;4.77;828.12;1484179200;17021.66
858.4000244140625;828.12;838.45;800.71;837.530029296875;839.280029296875;5.11;815.6;1484265600;12710.82
828.1799926757812;815.6;823.0;805.13;907.7000122070312;933.97998046875;5.4;820.92;1484352000;6343.65
800.3400268554688;820.92;837.97;814.6;908.8400268554688;775.0499877929688;6.25;830.1;1484438400;2568.64
754.260009765625;830.1;910.8;828.95;799.2999877929688;744.219970703125;6.68;903.99;1484524800;4097.92
792.5700073242188;903.99;913.85;847.25;769.25;809.22998046875;5.57;889.42;1484611200;16550.38
938.5399780273438;889.42;910.0;885.0;876.9299926757812;819.0499877929688;5.7;902.35;1484697600;10279.83
982.6500244140625;902.35;904.99;883.41;1166.0899658203125;834.219970703125;5.35;895.96;1484784000;7789.35
844.6500244140625;895.96;931.0;894.24;938.97998046875;826.1199951171875;5.44;924.58;1484870400;5180.42
757.9400024414062;924.58;939.9;892.5;793.9299926757812;833.2999877929688;5.49;923.72;1484956800;7029.91
965.6599731445312;923.72;928.87;908.52;933.7999877929688;875.739990234375;6.56;908.52;1485043200;10662.01
930.02001953125;908.52;927.34;884.21;826.1799926757812;854.3699951171875;7.2;886.75;1485129600;4718.75
895.5999755859375;886.75;899.61;884.21;969.3400268554688;835.969970703125;7.34;893.4;1485216000;9583.2
828.3099975585938;893.4;917.64;893.4;904.1500244140625;843.02001953125;5.84;915.11;1485302400;6086.97
925.760009765625;915.11;922.16;906.81;816.719970703125;879.5499877929688;5.29;916.83;1485388800;5277.23
922.1400146484375;916.83;923.99;915.55;890.0;905.72998046875;5.32;919.74;1485475200;4978.46
836.52001953125;919.74;922.99;911.28;842.1500244140625;924.9600219726562;6.48;912.7;1485561600;1832.96
915.6500244140625;912.7;920.89;910.77;885.6099853515625;897.5399780273438;6.9;917.36;1485648000;1072.96
866.5599975585938;917.36;969.4;916.75;868.0599975585938;871.97998046875;7.05;966.2;1485734400;1540.43
888.6199951171875;966.2;985.0;960.82;998.989990234375;905.8099975585938;6.73;983.73;1485820800;11501.94
879.0399780273438;983.73;1010.6;970.11;891.3200073242188;887.47998046875;5.61;1007.0;1485907200;5962.18
956.7899780273438;1007.0;1020.5;988.32;943.8699951171875;924.4600219726562;5.12;1015.7;1485993600;11188.72
978.530029296875;1015.7;1040.0;1001.8;956.0700073242188;910.489990234375;7.21;1031.1;1486080000;9231.62
941.2000122070312;1031.1;1033.0;999.99;954.0;985.5900268554688;5.7;1007.3;1486166400;9371.15
1040.0;1007.3;1026.3;1006.9;1006.8699951171875;1032.4100341796875;6.62;1022.6;1486252800;6207.84
1151.4599609375;1022.6;1056.4;1022.5;1055.260009765625;1040.8900146484375;6.31;1052.6;1486339200;4743.63
994.02001953125;1052.6;1070.0;1012.7;938.22998046875;933.8499755859375;8.44;1049.0;1486425600;9401.79
970.239990234375;1049.0;1078.0;939.99;986.75;939.989990234375;5.79;984.97;1486512000;11358.79
993.5599975585938;984.97;1002.0;949.4;1009.8499755859375;955.2100219726562;6.21;992.02;1486598400;26675.74
955.25;992.02;1009.0;984.49;983.5700073242188;978.0499877929688;5.16;1001.2;1486684800;13454.15
1036.0899658203125;1001.2;1005.8;992.4;1084.300048828125;1004.8699951171875;5.92;996.01;1486771200;4676.82
987.510009765625;996.01;1004.8;975.3;931.5599975585938;912.5599975585938;7.17;996.51;1486857600;1393.9
1006.6699829101562;996.51;1019.0;988.89;961.27001953125;944.4199829101562;7.96;1013.3;1486944000;4419.66
1008.25;1013.3;1018.2;1002.3;1077.6400146484375;901.739990234375;6.22;1013.9;1487030400;6211.23
977.3800048828125;1013.9;1045.8;1013.9;1080.739990234375;948.8200073242188;5.79;1038.5;1487116800;3445.47
1023.5399780273438;1038.5;1067.4;1034.8;1075.2099609375;992.0700073242188;6.39;1056.2;1487203200;7013.68
924.8499755859375;1056.2;1071.1;1053.2;996.9400024414062;1046.4599609375;6.49;1059.8;1487289600;9606.97
995.8499755859375;1059.8;1066.0;1045.1;1003.0999755859375;1043.0999755859375;5.98;1056.3;1487376000;3833.23
1004.219970703125;1056.3;1103.7;1044.2;999.7999877929688;986.4500122070312;6.85;1091.9;1487462400;2622.15
1062.1099853515625;1091.9;1134.0;1085.1;1035.3199462890625;998.3800048828125;7.72;1129.8;1487548800;8025.32
1071.219970703125;1129.8;1140.0;1106.9;1073.8299560546875;1081.9599609375;6.98;1125.9;1487635200;14607.58
1078.5899658203125;1125.9;1197.0;1121.1;1084.280029296875;1031.47998046875;7.36;1189.5;1487721600;6937.54
1110.43994140625;1189.5;1222.4;1111.2;1122.81005859375;1079.02001953125;7.39;1186.1;1487808000;16263.98
1074.2900390625;1186.1;1189.9;1131.4;1073.6199951171875;1037.1800537109375;6.43;1153.4;1487894400;22261.43
1082.050048828125;1153.4;1186.1;1130.9;1093.969970703125;1032.56005859375;6.19;1178.3;1487980800;6950.14
1137.030029296875;1178.3;1204.0;1171.1;1142.5999755859375;1077.510009765625;6.52;1195.5;1488067200;5297.34
1124.6300048828125;1195.5;1216.0;1178.1;1179.5400390625;1103.68994140625;7.95;1189.5;1488153600;6030.86
1169.18994140625;1189.5;1236.4;1186.1;1206.5999755859375;1143.469970703125;7.7;1233.8;1488240000;7806.33
1183.4000244140625;1233.8;1285.9;1212.8;1223.18994140625;1143.469970703125;6.58;1258.0;1488326400;12975.66
1185.8199462890625;1258.0;1294.9;1257.6;1273.5799560546875;1148.6199951171875;7.08;1289.2;1488412800;15655.08
1155.1400146484375;1289.2;1291.9;1241.1;1183.3900146484375;1118.199951171875;6.87;1267.8;1488499200;9584.35
1221.47998046875;1267.8;1279.9;1245.3;1265.4000244140625;1209.050048828125;6.93;1278.5;1488585600;4708.93
1192.77001953125;1278.5;1287.8;1268.4;1253.1400146484375;1187.4599609375;8.72;1279.3;1488672000;5047.63
1232.010009765625;1279.3;1282.0;1185.6;1265.8699951171875;1203.0400390625;8.37;1232.4;1488758400;4690.64
1245.0699462890625;1232.4;1243.6;1143.4;1264.9100341796875;1168.5899658203125;8.15;1149.7;1488844800;18877.63
1204.8399658203125;1149.7;1207.6;1136.1;1281.0699462890625;1187.7900390625;6.87;1190.4;1488931200;20586.52
1212.449951171875;1190.4;1339.9;989.99;1290.1600341796875;1204.9100341796875;7.11;1115.4;1489017600;14057.76
1198.5899658203125;1115.4;1196.6;1106.9;1268.56005859375;1141.6099853515625;7.11;1172.9;1489104000;50583.16
1166.449951171875;1172.9;1232.7;1168.3;1225.6500244140625;1119.1600341796875;6.91;1225.2;1489190400;16363.53
1147.0400390625;1225.2;1247.3;1206.9;1185.7099609375;1108.3900146484375;7.74;1238.5;1489276800;10872.59
1154.4100341796875;1238.5;1258.8;1218.9;1253.8499755859375;1096.93994140625;10.27;1245.0;1489363200;11397.31
1138.52001953125;1245.0;1263.9;1242.5;1184.050048828125;1119.449951171875;8.39;1257.3;1489449600;10292.45
1190.4000244140625;1257.3;1259.7;1132.6;1219.75;1053.719970703125;7.21;1168.9;1489536000;8023.4
1177.06005859375;1168.9;1169.8;1065.8;1257.3199462890625;1111.0699462890625;7.86;1069.0;1489622400;19772.34
1195.6400146484375;1069.0;1097.9;936.2;1145.3199462890625;1118.8299560546875;6.66;971.5;1489708800;23868.7
1105.989990234375;971.5;1059.0;970.0;1133.0799560546875;1086.97998046875;6.81;1016.5;1489795200;35792.48
1072.3699951171875;1016.5;1052.1;1011.4;1132.1199951171875;1079.4100341796875;6.94;1039.1;1489881600;21202.03
1129.43994140625;1039.1;1122.3;1039.0;1181.719970703125;1108.719970703125;7.11;1115.9;1489968000;10569.31
1156.5799560546875;1115.9;1116.0;986.8;1200.72998046875;1138.699951171875;6.77;1039.1;1490054400;18740.07
1085.72998046875;1039.1;1055.0;1018.1;1090.0699462890625;1064.3599853515625;7.11;1033.0;1490140800;18597.32
994.5499877929688;1033.0;1034.6;929.01;1104.8599853515625;981.75;5.96;942.24;1490227200;10761.87
970.9199829101562;942.24;980.6;891.0;1053.6400146484375;966.969970703125;6.57;972.17;1490313600;19050.26
1030.7099609375;972.17;1006.0;950.15;1056.77001953125;971.5800170898438;6.09;969.0;1490400000;23500.16
1028.6400146484375;969.0;1046.9;960.25;1027.510009765625;973.3400268554688;7.12;1042.8;1490486400;16306.17
1077.3900146484375;1042.8;1068.9;1016.8;1056.18994140625;979.47998046875;8.58;1044.9;1490572800;17730.67
1046.93994140625;1044.9;1059.0;1009.4;1101.8299560546875;984.5;7.96;1041.8;1490659200;12420.23
1035.8499755859375;1041.8;1053.5;1021.6;1102.02001953125;973.7899780273438;6.46;1041.2;1490745600;11579.58
1039.5699462890625;1041.2;1089.4;1041.1;1072.300048828125;987.5;6.76;1081.9;1490832000;11987.36
1013.8900146484375;1081.9;1106.9;1070.2;1020.1599731445312;957.280029296875;6.63;1093.2;1490918400;15872.27
1069.4599609375;1093.2;1118.2;1081.1;1110.8399658203125;1013.8900146484375;7.47;1107.6;1491004800;8562.36
1112.43994140625;1107.6;1159.9;1107.6;1119.6300048828125;1086.550048828125;7.86;1150.2;1491091200;11235.16
1084.72998046875;1150.2;1165.6;1124.1;1092.3599853515625;1060.739990234375;8.49;1145.1;1491177600;16555.94
1080.6099853515625;1145.1;1146.7;1112.2;1087.8800048828125;999.5999755859375;7.18;1140.4;1491264000;9913.47
1135.1300048828125;1140.4;1206.4;1140.4;1154.8599853515625;1067.449951171875;8.27;1191.5;1491350400;10689.83
1119.9200439453125;1191.5;1209.0;1177.6;1110.7099609375;1080.5899658203125;6.46;1197.0;1491436800;19722.29
1087.699951171875;1197.0;1202.9;1171.3;1095.68994140625;998.719970703125;7.5;1188.1;1491523200;12584.28
1181.989990234375;1188.1;1226.9;1180.4;1133.530029296875;1105.1199951171875;7.36;1215.9;1491609600;5104.19
1228.3900146484375;1215.9;1229.9;1208.2;1182.43994140625;1190.1199951171875;9.68;1220.3;1491696000;10519.97
1219.5;1220.3;1244.7;1209.2;1202.0799560546875;1192.280029296875;9.51;1235.6;1491782400;5313.11
1265.5400390625;1235.6;1244.3;1222.0;1273.219970703125;1214.9000244140625;8.08;1227.4;1491868800;5564.51
1204.8699951171875;1227.4;1235.3;1163.9;1190.8800048828125;1171.6099853515625;7.2;1187.0;1491955200;5841.74
1188.6199951171875;1187.0;1219.2;1184.1;1196.0899658203125;1130.3800048828125;8.09;1206.8;1492041600;8150.07
1225.5699462890625;1206.8;1215.0;1190.1;1236.81005859375;1186.6099853515625;9.62;1193.5;1492128000;7213.31
1188.1400146484375;1193.5;1217.6;1190.4;1210.0999755859375;1159.5;7.56;1213.5;1492214400;3880.64
1224.469970703125;1213.5;1247.0;1202.2;1211.47998046875;1207.77001953125;8.11;1240.0;1492300800;3292.79
1200.47998046875;1240.0;1274.8;1237.1;1232.06005859375;1219.8900146484375;10.51;1265.4;1492387200;8961.79
1203.77001953125;1265.4;1272.0;1255.0;1265.4599609375;1223.9300537109375;8.94;1260.6;1492473600;10801.77
1203.9599609375;1260.6;1326.9;1260.5;1249.93994140625;1221.1700439453125;7.29;1308.4;1492560000;3909.3
1217.5400390625;1308.4;1333.1;1307.0;1214.3900146484375;1245.8800048828125;7.19;1327.0;1492646400;9020.72
1266.8800048828125;1327.0;1354.9;1290.2;1272.260009765625;1220.800048828125;8.6;1346.4;1492732800;4123.2
1276.8699951171875;1346.4;1359.0;1336.1;1288.0899658203125;1254.1400146484375;7.03;1357.2;1492819200;4974.2
1286.199951171875;1357.2;1359.6;1327.0;1307.25;1283.8599853515625;8.47;1345.0;1492905600;4215.03
1333.030029296875;1345.0;1378.5;1342.2;1346.3599853515625;1284.5400390625;9.68;1375.6;1492992000;3629.52
1321.3499755859375;1375.6;1411.7;1364.9;1358.75;1275.4000244140625;10.25;1400.0;1493078400;5540.29
1317.989990234375;1400.0;1449.7;1392.6;1327.43994140625;1304.31005859375;7.15;1443.0;1493164800;6224.78
1389.1800537109375;1443.0;1447.0;1366.7;1383.530029296875;1334.300048828125;7.06;1415.6;1493251200;6055.99
1411.3800048828125;1415.6;1439.5;1401.5;1456.25;1340.56005859375;8.15;1424.8;1493337600;5995.6
