start;open;high;low;close;volume;annual-hash-rate-growth;block-height;block-interval;block-size;blockchain-size;blocks-daily;chain-value-density;daily-transactions;difficulty;fee-percentage;hash-rate-growth-14d;hash-rate;market-cap;quarterly-hash-rate-growth;metcalfe-utxo;metcalfe-tx;utxo-growth;utxo-set-size;utxo-value;velocity-daily
1368921600;118.52;120.99;115.61;118.25;1331.1313883700004;651.898;236837;577;167492;8216706015;149;173721.06;52215;11187257;0.00547786;16.6041;86.99330146644684;1361288920.5;218.02200000000002;3.08;4.95;15644;5852586;232.59;0.06472130000000001
1369008000;118.25;118.94;116.0;118.09;881.0578576200005;645.244;236993;539;139749;8238506921;156;171259.51;47157;11187257;0.0113765;14.5181;86.03995021749948;1345560678.25;209.158;3.03;5.46;25651;5878237;228.91;0.0367917
1369094400;116.9;118.6;116.9;117.0;1914.04839262;624.317;237122;669;180960;8261850795;129;171463.31;48781;11187257;0.00801457;8.61875;82.46488303394688;1350979123.0;187.138;3.01;5.28;46052;5924289;228.04;0.0485101
1369180800;117.0;120.0;117.0;119.11;2360.3498401399993;634.128;237273;570;174215;8288157213;151;171684.15;54104;11187257;0.00687826;6.3994599999999995;82.22654522171004;1357026282.0;176.428;3.01;4.74;32830;5957119;227.8;0.0604814
1369267200;118.45;124.25;118.41;123.83;4029.382328049997;637.474;237429;554;159164;8312986851;156;171513.24;52052;11187257;0.00678347;6.56015;83.41823428289423;1359736731.0;170.865;3.0;4.95;29583;5986702;227.12;0.0656884
1369353600;123.83;130.0;122.4;128.7;7967.52417806;656.765;237603;497;162718;8341299842;174;175400.49;59821;11187257;0.007996099999999999;6.2842199999999995;85.48382865561352;1395290451.75;175.39;3.06;4.36;21378;6008080;232.24;0.062919
1369440000;128.61;129.73;125.1;128.97;2715.805613039997;691.654;237772;512;157206;8367867577;169;182891.29;54828;11187257;0.00649293;3.84096;86.11939615491174;1459512834.0;178.732;3.19;5.02;22689;6030769;242.01;0.06633960000000001
1369526400;128.97;133.0;128.0;130.24;2883.230136129997;731.2810000000001;237937;526;148213;8392322657;165;183181.11;50928;12153412;0.00644257;4.66173;88.52261561299572;1466097801.0;189.58700000000002;3.19;5.46;15128;6045897;242.49;0.0652422
1369612800;130.27;130.59;123.0;126.25;3535.3153651699986;739.283;238100;530;133254;8414043028;163;186223.04;40886;12153412;0.00815392;4.7344;90.19709939849659;1494301475.0;184.449;3.24;7.07;18828;6064725;246.4;0.0346524
1369699200;126.25;127.0;123.0;125.92;2613.51733913;780.87;238276;490;150440;8440520503;176;179321.37;53334;12153412;0.00730031;8.03219;95.13861521366043;1443448720.0;198.56799999999998;3.12;5.11;26264;6090989;236.98;0.060331600000000006
1369785600;125.92;140.68;125.67;130.35;3561.613354920001;795.375;238434;544;172203;8467728519;158;177683.69;58380;12153412;0.00772572;9.62926;96.77879340947986;1434876691.5;203.71599999999998;3.09;4.6;19334;6110323;234.82;0.06430930000000001
1369872000;130.35;131.0;124.15;126.7;4735.037214169999;825.1239999999999;238602;515;158696;8494389383;168;178964.43;54336;12153412;0.00665446;12.7878;98.88481247172359;1449769513.5;212.358;3.11;5.02;17595;6127918;236.59;0.06887839999999999
1369958400;126.7;129.1;125.06;127.9;2272.14690654;827.5830000000001;238781;477;154689;8522078709;179;177888.13;56516;12153412;0.00770302;14.612;100.51018226938051;1445747991.5;214.442;3.09;4.8;17858;6145776;235.25;0.054551800000000004
1370044800;127.9;129.0;127.0;128.77;815.1359793199993;813.533;238956;494;147938;8547967871;175;176440.97;54481;12153412;0.00666821;15.8863;102.18755353270457;1438342785.0;217.252;3.06;4.97;17564;6163340;233.37;0.060077599999999995
1370131200;128.77;132.65;117.0;123.8;11905.972311849986;833.5930000000001;239169;406;123942;8574367586;213;176516.74;53826;12153412;0.008677500000000001;22.2281;106.33029218943581;1443404581.5;220.66400000000002;3.06;5.05;14867;6178207;233.63;0.041959500000000004
1370217600;123.8;132.87;117.0;123.1;4750.950442540005;866.627;239368;436;122252;8598695642;199;166916.54;50166;12153412;0.011324500000000001;27.1936;109.43734618198427;1368774928.0;227.69;2.9;5.17;12508;6190715;221.1;0.038479900000000004
1370304000;123.22;123.99;116.42;120.43;5195.531711939995;882.092;239581;405;126917;8625729069;213;162796.89;56634;12153412;0.00747244;36.5802;112.63070722988131;1339189403.75;236.91400000000002;2.83;4.43;15051;6205766;215.79;0.0708328
1370390400;120.43;122.37;119.6;121.19;1437.67228074;902.7360000000001;239794;407;127943;8652980988;213;164677.58;56640;12153412;0.00833692;42.748999999999995;117.37759527405257;1358940122.5;253.18599999999998;2.86;4.49;15919;6221685;218.42;0.05684500000000001
1370476800;121.19;121.33;118.0;119.28;1260.7073753199995;931.172;239978;468;148951;8680388007;184;165298.33;57276;15605633;0.00899888;47.7728;123.26942158227487;1368383098.0;264.26099999999997;2.86;4.46;28593;6250278;218.93;0.06009069999999999
1370563200;119.28;119.28;107.0;111.07;9643.826776270003;969.422;240159;478;143326;8706329984;181;161822.42;54462;15605633;0.00541556;49.5948;127.87940161416113;1343612075.25;275.132;2.81;4.63;11586;6261864;214.57;0.06718819999999999
1370649600;111.07;112.5;108.45;109.13;1945.7358486000005;1004.54;240320;530;155404;8731349985;161;150924.83;52220;15605633;0.00654195;51.67100000000001;130.61815208409578;1256730540.0;274.978;2.62;4.53;8293;6270157;200.43;0.05945790000000001
1370736000;109.13;110.0;89.9;100.0;15770.52403422;1007.96;240501;478;121179;8753283385;181;145156.54;47511;15605633;0.0105318;49.4462;132.2936922341307;1211735064.75;272.491;2.52;4.84;10697;6280854;192.93;0.035423
1370822400;100.3;108.0;93.0;104.23;9508.155149050022;999.028;240660;528;135122;8774767790;159;133933.46;44912;15605633;0.00527576;47.166000000000004;132.73942759736514;1120791420.0;278.707;2.33;4.76;6973;6287827;178.25;0.059495900000000004
1370908800;104.23;108.03;103.4;107.36;3430.4946068499994;1022.97;240834;498;119499;8795560674;174;141340.79;45317;15605633;0.00746424;40.4679;133.63920752322898;1185580711.5;282.628;2.46;4.99;11639;6299466;188.21;0.0424765
1370995200;107.36;119.0;105.0;106.68;4660.670137950005;1027.31;241014;480;121451;8817421889;180;144506.11;48895;15605633;0.00783749;39.7041;135.20392478409659;1215144469.5;286.422;2.51;4.7;20351;6319817;192.27;0.0523413
1371081600;106.68;109.14;95.0;102.0;5828.059181030001;1048.92;241217;424;106947;8839132217;203;145420.43;46119;15605633;0.00758237;38.8581;137.30955967827518;1225843784.75;279.435;2.52;5.05;15500;6335317;193.5;0.0499505
1371168000;102.0;107.36;97.0;99.01;5340.357983599995;1035.4;241403;464;110255;8859639622;186;139480.53;43872;15605633;0.00665159;37.1639;137.86367412411158;1178500382.25;271.139;2.42;5.13;12902;6348219;185.65;0.0546957
1371254400;99.01;104.0;96.22;99.42;2398.3840565099977;1033.84;241583;480;127662;8882618781;180;133724.38;49163;15605633;0.00513271;36.973;139.9693090182902;1132795955.5;269.035;2.32;4.35;7169;6355388;178.24;0.0616936
1371340800;99.42;101.1;98.66;99.0;1250.6019115699996;1042.27;241756;495;96991;8899398273;173;133337.08;36018;15605633;0.00792051;30.8025;139.08272590495181;1131648780.0;252.581;2.32;6.11;3916;6359304;177.96;0.0369896
1371427200;99.0;101.01;98.3;100.49;1287.1702078700005;1108.45;241941;468;107297;8919248177;185;132629.91;43335;19339258;0.006019300000000001;34.204;146.86925081008658;1128157721.25;259.086;2.31;4.97;5889;6365193;177.23;0.046386800000000006
1371513600;100.49;108.5;99.99;104.12;6112.643443239997;1075.57;242086;593;145427;8940335064;145;134162.34;46656;19339258;0.00658891;30.9589;147.4999482084722;1143890601.5;246.523;2.33;4.65;10522;6375715;179.41;0.0503183
1371600000;104.12;107.5;102.99;104.99;2839.768822539999;1079.34;242226;614;147081;8960926468;140;140682.21;45116;19339258;0.00595475;25.0486;146.77902275069897;1202242821.0;226.46900000000002;2.45;5.06;4633;6380348;188.42;0.056438800000000004
1371686400;104.99;108.0;102.38;104.55;5580.670854570001;1040.28;242362;637;160518;8982756981;136;141729.05;47132;19339258;0.00630122;15.9735;142.9598224251541;1214139608.0;208.75400000000002;2.47;4.87;10786;6391134;189.97;0.051337
1371772800;103.0;105.0;91.0;101.29;5607.971744929998;1052.5;242516;561;162216;9007738237;154;145782.61;53799;19339258;0.00950971;12.2125;143.49667909161113;1252338030.0;197.31400000000002;2.54;4.35;2776;6393910;195.86;0.0672905
1371859200;101.29;102.4;98.49;100.23;1392.4754257499985;1086.7;242684;511;129305;9029461430;168;142239.72;45963;19339258;0.00601584;12.2518;146.6211925523058;1224849733.0;194.951;2.49;5.05;3282;6397192;191.47;0.05954690000000001
1371945600;100.23;101.5;98.6;100.4;796.2981047600003;1102.16;242860;489;117450;9050132635;176;139477.69;44554;19339258;0.0130726;14.6088;151.62016307101956;1203815095.0;194.395;2.44;5.13;9195;6406387;187.91;0.037899199999999994
1372032000;100.4;102.13;95.38;98.68;2801.04700209;1103.05;243025;522;106079;9067635678;165;135552.76;38240;19339258;0.0099054;12.1546;148.87342098639962;1172202187.5;187.352;2.37;5.91;5150;6411537;182.82;0.028857999999999998
1372118400;99.35;100.9;97.5;97.58;3395.975849819998;1116.39;243175;579;136646;9088132509;150;132599.06;44671;19339258;0.0063375;11.9133;149.56010650755462;1149251800.0;181.46400000000003;2.32;4.88;8623;6420160;179.01;0.0548351
1372204800;97.58;100.0;96.99;98.69;1467.8945044399993;1118.12;243332;552;126446;9107984575;157;134352.18;44144;19339258;0.00480812;12.345;151.8948372794816;1166989901.0;191.269;2.35;5.02;6840;6427000;181.58;0.0619307
1372291200;98.69;98.72;96.31;96.31;1087.7657913300004;1138.06;243506;496;124724;9129686632;174;133719.65;47094;19339258;0.00642538;14.4229;157.11364724025938;1164263278.5;194.77900000000002;2.34;4.67;11388;6438388;180.83;0.05655930000000001
1372377600;96.31;96.52;88.01;89.79;7594.03228208001;1150.92;243673;520;124617;9150497711;167;131190.21;45044;19339258;0.00547241;15.2581;158.89902959526236;1144843815.5;195.96099999999998;2.3;4.82;7166;6445554;177.61;0.0480361
1372464000;89.2;91.6;86.15;88.8;1815.6155085599974;1142.41;243842;510;136992;9173649353;169;120740.27;50165;19339258;0.00706067;13.6223;159.03636669949336;1056317255.0;192.105;2.12;3.95;7101;6452655;163.71;0.0602987
1372550400;88.8;90.25;88.26;89.55;535.3731498199999;1193.25;244011;512;104891;9191375959;169;122688.82;36217;21335329;0.00473452;15.3778;160.47058746502933;1075438556.25;199.979;2.15;5.74;18855;6471510;166.18;0.0454919
1372636800;89.55;91.56;1.0;83.5;10028.673439419996;1183.5;244164;565;90653;9205245944;153;123243.65;30277;21335329;0.00731539;9.6154;160.9913221891591;1081932189.0;187.168;2.16;7.02;9606;6481116;166.94;0.0353606
1372723200;83.51;88.5;83.24;87.68;3743.6014528499977;1211.47;244321;553;113729;9223101400;157;112846.34;39068;21335329;0.00270222;11.3073;164.1781620237406;992577804.75;185.58599999999998;1.98;4.87;8308;6489424;152.95;0.07559819999999999
1372809600;87.68;89.56;75.0;77.402;8688.243453000005;1210.29;244474;561;116909;9240988422;153;113503.84;39695;21335329;0.00483932;12.9573;165.79759358171842;1000297274.0;178.498;1.99;4.82;7635;6497059;153.96;0.0648527
1372896000;77.402;82.0;70.04;79.4;7098.652297580003;1256.0;244658;471;85728;9256762285;184;100751.15;35238;21335329;0.00343505;18.7601;169.77917060691678;889424712.5;191.71;1.76;4.88;12699;6509758;136.63;0.0715744
1372982400;79.4;79.4;64.0;67.0;13818.132388990005;1260.39;244823;523;97434;9272838976;165;100780.12;35485;21335329;0.00277505;19.7543;171.8433767635449;891225668.5;193.563;1.76;4.85;7979;6517737;136.74;0.07444880000000001
1373068800;67.0;73.26;62.94;66.12;10429.965307850012;1284.65;245009;462;89943;9289568319;186;87363.23;36886;21335329;0.00302703;20.5928;176.81466358339162;773970309.0;198.71;1.53;4.04;9811;6527548;118.57;0.093695
1373155200;66.12;74.07786;64.89;73.97;4459.265029429999;1258.53;245196;458;83602;9305201899;187;87252.3;32914;21335329;0.00425612;18.4156;179.5418820448321;774288396.0;198.774;1.53;4.58;1868;6529416;118.59;0.0611181
1373241600;73.99;77.0;70.0;74.35;8826.330660269998;1279.46;245382;461;77332;9319585635;186;91124.06;30929;21335329;0.00287892;23.9589;184.541782557473;809896887.0;212.127;1.6;5.12;10749;6540165;123.83;0.0569077
1373328000;74.35;76.01;70.47;74.98;7062.118423189999;1301.95;245574;447;94191;9337670382;192;99491.07;39367;21335329;0.00395239;26.9354;189.84470734360733;885977536.5;215.842;1.74;4.3;8348;6548513;135.29;0.072902
1373414400;74.98;87.0;74.83;86.12;10384.638838989997;1348.03;245759;468;103268;9356774980;185;95433.77;40849;21335329;0.00300748;28.1762;194.69309571950149;851585691.5;213.043;1.67;3.97;4872;6553385;129.94;0.101375
1373500800;86.12;89.23;84.0;88.0;7513.363580379999;1432.83;245954;440;94313;9375166106;195;104785.44;39705;26162876;0.00240135;29.2344;203.04484912212132;936871481.5;219.30700000000002;1.83;4.5;22216;6575601;142.48;0.09734630000000001
1373587200;88.0;101.39;86.64;90.2;15086.88545992001;1479.26;246128;494;116675;9395467497;174;112323.9;43623;26162876;0.00341207;32.3945;210.3736422621886;1006446432.0;226.63299999999998;1.96;4.36;23774;6599375;152.5;0.0910283
