entry_test_price;prediction;test_price
3832.6;3868.080078125;3830.5
3830.5;3866.5;3844.8
3844.8;3877.610107421875;3831.6
3831.6;3872.909912109375;3824.1
3824.1;3869.330078125;3831.6
3831.6;3865.27001953125;3841.6
3841.6;3872.3701171875;3825.0
3825.0;3867.780029296875;3833.25
3833.25;3872.860107421875;3827.9
3827.9;3872.7900390625;3846.8
3846.8;3883.590087890625;3859.9
3859.9;3891.02001953125;3857.7
3857.7;3897.2900390625;3844.0
3844.0;3886.590087890625;3854.0
3854.0;3893.669921875;3862.3
3862.3;3900.10009765625;3856.3
3856.3;3896.5400390625;3855.27
3855.27;3897.860107421875;3859.0
3859.0;3898.25;3839.3
3839.3;3886.889892578125;3830.0
3830.0;3871.280029296875;3836.3
3836.3;3872.7099609375;3834.7
3834.7;3875.070068359375;3820.02
3820.02;3862.02001953125;3809.94
3809.94;3848.800048828125;3844.4
3844.4;3874.669921875;3883.9
3883.9;3914.27001953125;3879.3
3879.3;3915.0;3862.2
3862.2;3904.1201171875;3950.0
3950.0;3940.27001953125;3974.8
3974.8;3993.7099609375;3948.9
3948.9;3989.419921875;3953.0
3953.0;3992.280029296875;3951.3
3951.3;3989.030029296875;3959.8
3959.8;3994.489990234375;3938.8
3938.8;3981.080078125;3941.2
3941.2;3981.77001953125;3940.7
3940.7;3979.070068359375;3926.0
3926.0;3969.39990234375;3933.1
3933.1;3968.360107421875;3942.4
3942.4;3979.760009765625;3935.3
3935.3;3977.7099609375;3937.0
3937.0;3976.1298828125;3956.9
3956.9;3988.409912109375;3949.09
3949.09;3986.77001953125;3953.1
3953.1;3987.2099609375;3975.3
3975.3;4011.239990234375;3979.1
3979.1;4019.300048828125;3985.0
3985.0;4024.489990234375;3975.1
3975.1;4013.56005859375;4015.2
4015.2;4038.169921875;4016.0
4016.0;4042.64990234375;3992.4
3992.4;4031.159912109375;3979.8
3979.8;4026.010009765625;3995.24
3995.24;4033.469970703125;4040.06
4040.06;4061.4599609375;4046.25
4046.25;4069.340087890625;4027.36
4027.36;4061.72998046875;4069.3
4069.3;4099.1201171875;4048.8
4048.8;4086.699951171875;4022.0
4022.0;4062.389892578125;4023.9
4023.9;4061.5;4017.3
4017.3;4057.02001953125;4024.9
4024.9;4060.949951171875;4027.6
4027.6;4063.360107421875;4009.73
4009.73;4051.179931640625;3999.02
3999.02;4038.199951171875;3996.0
3996.0;4032.3798828125;4007.8
4007.8;4042.43994140625;3996.1
3996.1;4034.360107421875;3978.76
3978.76;4017.419921875;3987.0
3987.0;4022.800048828125;3979.2
3979.2;4017.610107421875;3977.6
3977.6;4014.090087890625;3985.4
3985.4;4016.3798828125;3986.5
3986.5;4022.800048828125;3983.7
3983.7;4019.159912109375;3986.2
3986.2;4019.409912109375;3970.0
3970.0;4014.35009765625;3913.9
3913.9;3962.780029296875;3924.73
3924.73;3965.77001953125;3920.0
3920.0;3954.419921875;3913.8
3913.8;3957.530029296875;3932.4
3932.4;3965.64990234375;3935.8
3935.8;3972.159912109375;3932.4
3932.4;3972.8701171875;3928.7
3928.7;3966.72998046875;3915.7
3915.7;3960.22998046875;3909.1
3909.1;3948.659912109375;3919.7
3919.7;3954.419921875;3919.34
3919.34;3957.340087890625;3918.92
3918.92;3956.89990234375;3926.1
3926.1;3960.85009765625;3930.0
3930.0;3968.179931640625;3928.1
3928.1;3968.530029296875;3938.8
3938.8;3975.0400390625;3946.9
3946.9;3983.139892578125;3947.4
3947.4;3992.030029296875;3951.3
3951.3;3986.969970703125;3927.92
3927.92;3968.3701171875;3925.99
3925.99;3965.68994140625;3937.6
3937.6;3973.139892578125;3924.9
3924.9;3961.909912109375;3916.11
3916.11;3955.31005859375;3907.0
3907.0;3950.56005859375;3893.1
3893.1;3939.699951171875;3872.8
3872.8;3917.0400390625;3885.81
3885.81;3921.580078125;3895.0
3895.0;3932.010009765625;3896.1
3896.1;3933.25;3888.2
3888.2;3928.139892578125;3886.7
3886.7;3925.5;3881.9
3881.9;3921.139892578125;3925.9
3925.9;3959.02001953125;3958.2
