start;open;high;low;close;volume;market-cap;utxo-value;metcalfe-tx;block-size;velocity-daily;block-height;fee-percentage;chain-value-density;quarterly-hash-rate-growth;hash-rate;difficulty;blockchain-size;metcalfe-utxo;hash-rate-growth-14d;block-interval;utxo-set-size;blocks-daily;annual-hash-rate-growth;daily-transactions;utxo-growth
1364774400;93.03299999999999;105.9;92.49999;103.999;5225.273894259997;1068363283.5;261.88;3.35;195250;0.166127;228843;0.0036037;163893.53;138.564;54.44496523596881;6695826;6835291868;3.61;43.5464;496;4079508;173;357.36;60832;-12416
1364860800;103.999;118.3867;99.0;118.22935407;8376.527478110009;1017300557.0;248.96;4.58;142549;0.14165;229012;0.00290289;155512.09;132.52100000000002;53.493961476388556;6695826;6859382730;3.43;35.6096;512;4086253;169;350.51599999999996;43603;6745
1364947200;118.22935407;146.88;101.51088;134.7;12999.775201180002;1118667870.0;272.43;4.09;139736;0.134864;229210;0.0029177;170320.85;138.904;56.06167162725523;6695826;6887050450;3.75;37.0672;425;4106292;198;382.991;52743;20039
1365033600;134.71656000000002;143.0;119.0;132.899;7022.871741320008;1230734191.0;297.76;3.73;174997;0.231021;229391;0.0023951000000000003;186525.46;145.204;57.4881772666256;6695826;6918724874;4.1;35.0575;475;4133313;181;400.611;62692;27021
1365120000;132.899;145.0;128.25;142.3;5237.795716800001;1433204943.0;343.98;4.13;187956;0.219625;229566;0.00320047;216183.41;152.55700000000002;59.53283534972311;6695826;6951617133;4.73;32.4141;496;4166464;175;419.028;65557;33151
1365206400;142.3;144.0;139.0;143.05;2034.0203911499993;1541438460.0;367.57;4.43;217426;0.20878200000000002;229720;0.00305685;231394.71;150.507;58.20143008631078;6695826;6985100736;5.05;25.6991;557;4193553;154;419.98800000000006;65667;27089
1365292800;143.05;164.75;142.75;162.304;3725.0676449599987;1548150621.0;366.99;4.83;189161;0.179098;229878;0.00288239;231412.16;152.642;58.53704738098658;7673000;7014988159;5.04;21.2841;545;4218573;158;432.88599999999997;60974;25020
1365379200;162.304;194.57;162.304;186.985;10898.35335263;1557305099.0;366.41;5.79;159379;0.12144200000000001;230041;0.0029229;231921.66;160.467;59.19266264854723;7673000;7040966944;5.02;19.0753;528;4250161;163;463.13199999999995;51897;31588
1365465600;186.985;249.97;186.8;232.99;6073.639246079998;1736718776.25;405.97;5.19;205222;0.09842530000000001;230205;0.00497921;257410.4;161.989;60.092968225005094;7673000;7074623302;5.56;16.68;525;4278017;164;466.715;63379;27856
1365552000;232.99;290.0;19.9;162.0;16071.642744270002;2030940320.0;469.8;6.17;196914;0.140008;230360;0.00301993;299725.8;161.859;59.123912337241116;7673000;7105144987;6.43;14.1195;554;4322974;155;439.931;62370;44957
1365638400;162.0;205.0;1.06;100.0;17016.121648310003;2186159900.0;503.32;6.04;181858;0.202579;230536;0.0022354;321186.21;169.045;60.10749034172483;7673000;7137152024;6.88;13.119000000000002;487;4343578;176;440.925;68053;20604
1365724800;100.0;157.0;51.0;112.0;38693.95530431996;1818990510.75;417.15;5.47;166622;0.25335100000000005;230727;0.00232286;266056.07;178.828;62.19371282880003;7673000;7168976921;5.7;19.2607;439;4360532;191;457.38199999999995;62938;16954
1365811200;112.0;130.0;81.12;91.1;23877.17239757999;1241317348.5;283.28;3.43;217548;0.212687;230887;0.00266428;180684.97;192.12400000000002;63.589312997018425;7673000;7203784549;3.87;19.3073;539;4381861;160;466.254;67987;21329
1365897600;91.1;109.0;20.0;90.171;16441.847706960005;1056779760.0;239.73;3.43;161328;0.159442;231060;0.00322003;153230.19;198.183;64.40665635173589;7673000;7231694367;3.27;19.9623;494;4408145;173;483.543;58649;26284
1365984000;90.171;104.0;71.497;83.302;16421.27905634001;1108472530.75;249.72;3.99;144319;0.11633800000000001;231227;0.00312545;160191.63;199.178;64.62461457966053;7673000;7255795574;3.41;18.6971;511;4438851;167;481.959;53293;30706
1366070400;83.302;84.48;0.01;67.58800000000001;26112.72354716001;1030732645.0;230.56;3.46;179977;0.0774762;231380;0.00631965;148393.83;195.47099999999998;64.02522945286772;7673000;7283332115;3.14;19.6868;562;4470564;153;505.667;56825;31713
1366156800;67.58800000000001;98.9;63.5;93.06299999999999;20016.467386729983;951637706.0;210.41;3.39;161085;0.0943836;231544;0.007063600000000001;136511.43;201.588;64.51563546569821;7673000;7309750028;2.86;15.0798;513;4522751;164;510.63;53774;52187
1366243200;93.06299999999999;114.0;87.0;111.3;8364.204655090001;742864291.75;163.1;2.07;178503;0.157558;231721;0.00306669;106104.49;201.517;64.57012502267936;7673000;7341345101;2.22;12.319;484;4554642;177;522.053;67440;31891
1366329600;110.0;142.0;104.56;119.0;20883.709079389995;981773551.0;213.32;3.3;164677;0.16200499999999998;231892;0.00447621;139692.45;216.06900000000002;65.06056381588193;8974296;7369504841;2.9;9.28518;505;4602315;171;537.336;56660;47673
1366416000;119.02;132.0;114.9;127.0;6509.203738109997;1115595926.25;241.2;4.39;149028;0.5304;232039;0.00074988;158263.01;217.80200000000002;65.71064285071392;8974296;7391411957;3.27;12.9021;577;4625172;147;523.182;49049;22857
1366502400;127.01;130.0;110.0;117.618;11549.557824499994;1330065408.0;285.29;4.38;208284;0.16156199999999998;232176;0.00305392;187962.89;203.595;65.01505096779637;8974296;7419946844;3.87;11.0665;635;4662102;137;496.921;57662;36930
1366588800;117.618;127.3;117.618;126.5;7060.856517830002;1377305037.5;293.7;5.63;154309;0.09793210000000001;232330;0.00418366;194017.35;207.928;65.72981777765632;8974296;7443710481;3.98;11.0439;558;4689402;154;494.31199999999995;47336;27300
1366675200;127.389;144.47;124.859;143.484;11567.034512970007;1308268989.0;276.96;5.73;124137;0.09021839999999999;232506;0.00331117;183753.09;230.347;68.60951307464032;8974296;7465558623;3.75;14.1723;490;4723530;176;500.279;44420;34128
1366761600;143.484;166.99;140.9;154.6;25884.625254149996;1376890819.5;288.38;5.65;147409;0.1482;232659;0.00282645;192808.9;225.93900000000002;69.42401788774433;8974296;7488112228;3.9;17.4212;561;4774576;153;516.471;47124;51046
1366848000;155.0;169.13;120.03;141.9;21596.755281320016;1521332158.5;316.73;4.63;175061;0.143947;232827;0.0038787;212201.88;236.722;70.48611847558486;8974296;7517522403;4.28;17.2668;507;4803319;168;524.039;61980;28743
1366934400;142.89;143.985;13.0;137.3;13293.35461643;1627320091.5;336.6;4.64;210217;0.197465;232989;0.00287364;225961.9;222.766;69.91254246628986;8974296;7551577478;4.55;12.4109;533;4834732;162;520.809;65670;31413
1367020800;137.3;147.51;121.46;128.5;7774.990598120001;1587402702.0;326.0;4.88;173346;0.142573;233161;0.00376927;219552.32;228.66400000000002;71.50580915877595;8974296;7581392953;4.4;12.4494;500;4869351;172;536.2230000000001;61379;34619
1367107200;128.5;136.99;128.02;135.28;7223.12749254;1484275536.0;302.35;5.08;158547;0.108752;233332;0.00337636;204557.37;242.797;73.67265186055705;8974296;7608504491;4.08;14.3867;507;4909187;171;572.211;55572;39836
1367193600;135.28;148.5;113.42;144.0;9500.791824059996;1426561073.25;288.61;6.44;143831;0.067674;233479;0.00511203;196058.56;237.83599999999998;73.22653718666096;8974296;7629647632;3.89;13.3106;574;4942853;147;574.122;43134;33666
