start,open,high,low,close,volume
1364774400,93.033,105.9,92.49999,103.999,5225.273894259997
1364860800,103.999,118.3867,99,118.22935407,8376.527478110009
1364947200,118.22935407,146.88,101.51088,134.7,12999.775201180002
1365033600,134.71656,143,119,132.899,7022.871741320009
1365120000,132.899,145,128.25,142.3,5237.795716800001
1365206400,142.3,144,139,143.05,2034.0203911499993
1365292800,143.05,164.75,142.75,162.304,3725.067644959999
1365379200,162.304,194.57,162.304,186.985,10898.35335263
1365465600,186.985,249.97,186.8,232.99,6073.639246079997
1365552000,232.99,290,19.9,162,16071.642744270002
1365638400,162,205,1.06,100,17016.121648310003
1365724800,100,157,51,112,38693.95530431996
1365811200,112,130,81.12,91.1,23877.172397579987
1365897600,91.1,109,20,90.171,16441.847706960005
1365984000,90.171,104,71.497,83.302,16421.27905634001
1366070400,83.302,84.48,0.01,67.588,26112.723547160007
1366156800,67.588,98.9,63.5,93.063,20016.467386729983
1366243200,93.063,114,87,111.3,8364.204655090001
1366329600,110,142,104.56,119,20883.709079389995
1366416000,119.02,132,114.9,127,6509.203738109998
1366502400,127.01,130,110,117.618,11549.557824499994
1366588800,117.618,127.3,117.618,126.5,7060.856517830002
1366675200,127.389,144.47,124.859,143.484,11567.034512970007
1366761600,143.484,166.99,140.9,154.6,25884.625254149993
1366848000,155,169.13,120.03,141.9,21596.755281320016
1366934400,142.89,143.985,13,137.3,13293.354616429999
1367020800,137.3,147.51,121.46,128.5,7774.990598120001
1367107200,128.5,136.99,128.02,135.28,7223.12749254
1367193600,135.28,148.5,113.42,144,9500.791824059996
1367280000,144,146.6752,133.89,139.88,10998.392298150005
1367366400,139.88,140.02,105,116,23879.787019450003
1367452800,116,127.18,90.414,106.56,29996.424935600015
1367539200,106.56,108.21,80,98.06,32562.959571809977
1367625600,98.06,115.959,93.356,112.5,15470.540318530015
1367712000,112.5,126,100,116.57,13364.410708439986
1367798400,116.57,124.3,106,112,12268.508968749999
1367884800,112.05,113.44,98,110,15060.449155370037
1367971200,110,116.98,108.5,113.5,8804.37823946001
1368057600,113.5,113.5,108.23,112.669,3999.0079420500015
1368144000,112.669,122.5,111.4,117.87,7581.9395868800075
1368230400,117.87,118.9,112.72,115.576,3842.2670868099985
1368316800,115.576,118,113,114.3,2749.882537939997
1368403200,114.3,118.97,114.07,117.979,2594.5231254099976
1368489600,117.979,119.85,105.2,111.551,9787.092823040006
1368576000,111.551,117,103.45,108.94,9358.280315510006
1368662400,108.94,115.2,108.2,115,4798.928981250001
1368748800,115,122,112.35,117.62,5110.450740700001
1368835200,117.51,118.98,115.81001,118.52,2171.883057919999
1368921600,118.52,120.99,115.61,118.25,1331.1313883700006
1369008000,118.25,118.94,116,118.09,881.0578576200005
1369094400,116.9,118.6,116.9,117,1914.04839262
1369180800,117,120,117,119.11,2360.349840139999
1369267200,118.45,124.25,118.41,123.83,4029.3823280499964
1369353600,123.83,130,122.4,128.7,7967.52417806
1369440000,128.61,129.73,125.1,128.97,2715.805613039997
1369526400,128.97,133,128,130.24,2883.2301361299974
1369612800,130.27,130.59,123,126.25,3535.3153651699986
1369699200,126.25,127,123,125.92,2613.51733913
1369785600,125.92,140.68,125.67,130.35,3561.6133549200003
1369872000,130.35,131,124.15,126.7,4735.037214169999
1369958400,126.7,129.1,125.06,127.9,2272.1469065399997
1370044800,127.9,129,127,128.77,815.1359793199993
1370131200,128.77,132.65,117,123.8,11905.972311849986
1370217600,123.8,132.87,117,123.1,4750.950442540004
1370304000,123.22,123.99,116.42,120.43,5195.531711939995
1370390400,120.43,122.37,119.6,121.19,1437.67228074
1370476800,121.19,121.33,118,119.28,1260.7073753199995
1370563200,119.28,119.28,107,111.07,9643.826776270005
1370649600,111.07,112.5,108.45,109.13,1945.7358486000005
1370736000,109.13,110,89.9,100,15770.52403422
1370822400,100.3,108,93,104.23,9508.155149050022
1370908800,104.23,108.03,103.4,107.36,3430.4946068499994
1370995200,107.36,119,105,106.68,4660.670137950004
1371081600,106.68,109.14,95,102,5828.059181030001
1371168000,102,107.36,97,99.01,5340.357983599995
1371254400,99.01,104,96.22,99.42,2398.384056509998
1371340800,99.42,101.1,98.66,99,1250.6019115699996
1371427200,99,101.01,98.3,100.49,1287.1702078700005
1371513600,100.49,108.5,99.99,104.12,6112.6434432399965
1371600000,104.12,107.5,102.99,104.99,2839.7688225399984
1371686400,104.99,108,102.38,104.55,5580.670854570001
1371772800,103,105,91,101.29,5607.971744929998
1371859200,101.29,102.4,98.49,100.23,1392.4754257499983
1371945600,100.23,101.5,98.6,100.4,796.2981047600003
1372032000,100.4,102.13,95.38,98.68,2801.0470020899998
1372118400,99.35,100.9,97.5,97.58,3395.975849819998
1372204800,97.58,100,96.99,98.69,1467.8945044399993
1372291200,98.69,98.72,96.31,96.31,1087.7657913300004
1372377600,96.31,96.52,88.01,89.79,7594.03228208001
1372464000,89.2,91.6,86.15,88.8,1815.6155085599974
1372550400,88.8,90.25,88.26,89.55,535.3731498199998
1372636800,89.55,91.56,1,83.5,10028.673439419996
1372723200,83.51,88.5,83.24,87.68,3743.6014528499977
1372809600,87.68,89.56,75,77.402,8688.243453000005
1372896000,77.402,82,70.04,79.4,7098.652297580002
1372982400,79.4,79.4,64,67,13818.132388990005
1373068800,67,73.26,62.94,66.12,10429.965307850012
1373155200,66.12,74.07786,64.89,73.97,4459.265029429999
1373241600,73.99,77,70,74.35,8826.330660269998
1373328000,74.35,76.01,70.47,74.98,7062.118423189999
1373414400,74.98,87,74.83,86.12,10384.638838989997
1373500800,86.12,89.23,84,88,7513.363580379999
1373587200,88,101.39,86.64,90.2,15086.88545992001
1373673600,90.17,91.95,85,91.6,4120.969556950002
1373760000,91.6,93,88.88,90.07,2457.32348995
1373846400,90.07,99.83,82.45,93.94,5899.147069650001
1373932800,93.94,94,84.7,91.6,2113.4757583399996
1374019200,91.58,92.8,89.22,91.46,2059.1897221899985
1374105600,91.46,91.46,77,85.27,7713.432233700006
1374192000,85.27,87.1,83.4,86.53,4848.197214019996
1374278400,86.53,87.2,84.27,85,1352.5435523899998
1374364800,85,86.4,84,85.79,2130.3135573400004
1374451200,85.77,87.1,83.99,85.6,1357.5466919900002
1374537600,85.6,88.67,82.99,86.95,3387.142732199999
1374624000,86.95,95.68,86.46,88.36,1619.2426672899994
1374710400,88.42,91.99899,87.15,90.24,3363.089308849999
1374796800,90.24,91.72,89.2,89.95,990.9704766000002
1374883200,89.95,90.11,87.8,88.02,1438.5125234199982
1374969600,88.02,94,87.92,92.46,3416.208964339997
1375056000,92.46,93.73,90.54,93.37,2726.6532584099996
1375142400,93.37,97.11,92.7,96.5,3561.1433388499995
1375228800,96.5,101.03,95.1,98.18,5719.09328882
1375315200,98.18,98.50297,95.21,96.55,3542.6189189599995
1375401600,96.55,98.7,93.75,95.85,5453.740269059997
1375488000,95.82,97.23,94.67,95.49,2411.195744399998
